name	mana_cost	mv	colors	type	subtypes	power	toughness	printings	elo	edh	text
Halberdier	{3}{R}	4	R	Creature — Human Barbarian	Human, Barbarian	3	1	ODY	1067	29290	First strike
Halberdier	{3}{R}	4	R	Creature — Human Barbarian	Human, Barbarian	3	1	ODY	1067	29290	First strike
Halberdier	{3}{R}	4	R	Creature — Human Barbarian	Human, Barbarian	3	1	ODY	1067	29290	First strike
Jeska, Warrior Adept	{2}{R}{R}	4	R	Legendary Creature — Human Barbarian Warrior	Human, Barbarian, Warrior	3	1	JUD	1242	18944	First strike, haste / {T}: Jeska deals 1 damage to any target.
Pardic Collaborator	{3}{R}	4	R	Creature — Human Barbarian	Human, Barbarian	2	2	PLST, TOR	1089	30845	First strike / {B}: This creature gets +1/+1 until end of turn.
Pardic Collaborator	{3}{R}	4	R	Creature — Human Barbarian	Human, Barbarian	2	2	PLST, TOR	1089	30845	First strike / {B}: This creature gets +1/+1 until end of turn.
Pardic Firecat	{3}{R}	4	R	Creature — Elemental Cat	Elemental, Cat	2	3	ODY	1135	31001	Haste / If this card is in a graveyard, effects from spells named Flame Burst count it as a card named Flame Burst.
Pardic Firecat	{3}{R}	4	R	Creature — Elemental Cat	Elemental, Cat	2	3	ODY	1135	31001	Haste / If this card is in a graveyard, effects from spells named Flame Burst count it as a card named Flame Burst.
Pardic Firecat	{3}{R}	4	R	Creature — Elemental Cat	Elemental, Cat	2	3	ODY	1135	31001	Haste / If this card is in a graveyard, effects from spells named Flame Burst count it as a card named Flame Burst.
Possessed Barbarian	{2}{R}{R}	4	R	Creature — Human Barbarian Horror	Human, Barbarian, Horror	3	3	TOR	1184	30601	First strike / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1, is black, and has "{2}{B}, {T}: Destroy target red creature."
Dwarven Strike Force	{4}{R}	5	R	Creature — Dwarf Berserker	Dwarf, Berserker	4	3	ODY	1154	29573	Discard a card at random: This creature gains first strike and haste until end of turn.
Dwarven Strike Force	{4}{R}	5	R	Creature — Dwarf Berserker	Dwarf, Berserker	4	3	ODY	1154	29573	Discard a card at random: This creature gains first strike and haste until end of turn.
Frenetic Ogre	{4}{R}	5	R	Creature — Ogre	Ogre	2	3	ODY	1104	30927	{R}, Discard a card at random: This creature gets +3/+0 until end of turn.
Frenetic Ogre	{4}{R}	5	R	Creature — Ogre	Ogre	2	3	ODY	1104	30927	{R}, Discard a card at random: This creature gets +3/+0 until end of turn.
Savage Firecat	{3}{R}{R}	5	R	Creature — Elemental Cat	Elemental, Cat	0	0	ODY	1190	29892	Trample / This creature enters with seven +1/+1 counters on it. / Whenever you tap a land for mana, remove a +1/+1 counter from this creature.
Kamahl, Pit Fighter	{4}{R}{R}	6	R	Legendary Creature — Human Barbarian	Human, Barbarian	6	1	10E, DDL, DDS, DPA, ODY, P15A, PRM, PS11, PSAL	1201	17532	Haste (This creature can attack and {T} as soon as it comes under your control.) / {T}: Kamahl deals 3 damage to any target.
Cephalid Scout	{1}{U}	2	U	Creature — Octopus Wizard Scout	Octopus, Wizard, Scout	1	1	ODY	1118	25920	Flying / {2}{U}, Sacrifice a land: Draw a card.
Cephalid Scout	{1}{U}	2	U	Creature — Octopus Wizard Scout	Octopus, Wizard, Scout	1	1	ODY	1118	25920	Flying / {2}{U}, Sacrifice a land: Draw a card.
Cephalid Scout	{1}{U}	2	U	Creature — Octopus Wizard Scout	Octopus, Wizard, Scout	1	1	ODY	1118	25920	Flying / {2}{U}, Sacrifice a land: Draw a card.
Cephalid Vandal	{1}{U}	2	U	Creature — Octopus Rogue	Octopus, Rogue	1	1	TOR	1124	20633	At the beginning of your upkeep, put a shred counter on this creature. Then mill a card for each shred counter on this creature.
Thought Eater	{1}{U}	2	U	Creature — Beast	Beast	2	2	ODY	1187	13375	Flying / Your maximum hand size is reduced by three.
Thought Eater	{1}{U}	2	U	Creature — Beast	Beast	2	2	ODY	1187	13375	Flying / Your maximum hand size is reduced by three.
Ambassador Laquatus	{1}{U}{U}	3	U	Legendary Creature — Merfolk Wizard	Merfolk, Wizard	1	3	10E, TOR	1244	18250	{3}: Target player mills three cards.
Cephalid Looter	{2}{U}	3	U	Creature — Octopus Rogue	Octopus, Rogue	2	1	ODY	1280	18710	{T}: Target player draws a card, then discards a card.
Cephalid Looter	{2}{U}	3	U	Creature — Octopus Rogue	Octopus, Rogue	2	1	ODY	1280	18710	{T}: Target player draws a card, then discards a card.
Cephalid Looter	{2}{U}	3	U	Creature — Octopus Rogue	Octopus, Rogue	2	1	ODY	1280	18710	{T}: Target player draws a card, then discards a card.
Puppeteer	{2}{U}	3	U	Creature — Human Wizard	Human, Wizard	1	2	10E, 8ED, 9ED, ODY, PSAL	1177	15142	{U}, {T}: You may tap or untap target creature.
Puppeteer	{2}{U}	3	U	Creature — Human Wizard	Human, Wizard	1	2	10E, 8ED, 9ED, ODY, PSAL	1177	15142	{U}, {T}: You may tap or untap target creature.
Skywing Aven	{2}{U}	3	U	Creature — Bird Soldier	Bird, Soldier	2	1	TOR, UMA, VMA	1105	28055	Flying / Discard a card: Return this creature to its owner's hand.
Skywing Aven	{2}{U}	3	U	Creature — Bird Soldier	Bird, Soldier	2	1	TOR, UMA, VMA	1105	28055	Flying / Discard a card: Return this creature to its owner's hand.
Skywing Aven	{2}{U}	3	U	Creature — Bird Soldier	Bird, Soldier	2	1	TOR, UMA, VMA	1105	28055	Flying / Discard a card: Return this creature to its owner's hand.
Wormfang Drake	{2}{U}	3	U	Creature — Nightmare Drake	Nightmare, Drake	3	4	DMR, JUD	1178	22663	Flying / When this creature enters, sacrifice it unless you exile a creature you control other than this creature. / When this creature leaves the battlefield, return the exiled card to the battlefield under its owner's control.
Wormfang Drake	{2}{U}	3	U	Creature — Nightmare Drake	Nightmare, Drake	3	4	DMR, JUD	1178	22663	Flying / When this creature enters, sacrifice it unless you exile a creature you control other than this creature. / When this creature leaves the battlefield, return the exiled card to the battlefield under its owner's control.
Wormfang Drake	{2}{U}	3	U	Creature — Nightmare Drake	Nightmare, Drake	3	4	DMR, JUD	1178	22663	Flying / When this creature enters, sacrifice it unless you exile a creature you control other than this creature. / When this creature leaves the battlefield, return the exiled card to the battlefield under its owner's control.
Aven Fisher	{3}{U}	4	U	Creature — Bird Soldier	Bird, Soldier	2	2	10E, 8ED, 9ED, DMR, ODY, PLST	1158	23674	Flying (This creature can't be blocked except by creatures with flying or reach.) / When this creature dies, you may draw a card.
Aven Fisher	{3}{U}	4	U	Creature — Bird Soldier	Bird, Soldier	2	2	10E, 8ED, 9ED, DMR, ODY, PLST	1158	23674	Flying (This creature can't be blocked except by creatures with flying or reach.) / When this creature dies, you may draw a card.
Aven Fisher	{3}{U}	4	U	Creature — Bird Soldier	Bird, Soldier	2	2	10E, 8ED, 9ED, DMR, ODY, PLST	1158	23674	Flying (This creature can't be blocked except by creatures with flying or reach.) / When this creature dies, you may draw a card.
Balshan Collaborator	{3}{U}	4	U	Creature — Bird Soldier	Bird, Soldier	2	2	TOR	1138	31240	Flying / {B}: This creature gets +1/+1 until end of turn.
Balshan Collaborator	{3}{U}	4	U	Creature — Bird Soldier	Bird, Soldier	2	2	TOR	1138	31240	Flying / {B}: This creature gets +1/+1 until end of turn.
Cephalid Broker	{3}{U}	4	U	Creature — Octopus	Octopus	2	2	IMA, ODY, PLST	1201	16311	{T}: Target player draws two cards, then discards two cards.
Cephalid Broker	{3}{U}	4	U	Creature — Octopus	Octopus	2	2	IMA, ODY, PLST	1201	16311	{T}: Target player draws two cards, then discards two cards.
Cephalid Sage	{3}{U}	4	U	Creature — Octopus	Octopus	2	3	EMA, TOR	1168	25015	Threshold — As long as there are seven or more cards in your graveyard, this creature has "When this creature enters, draw three cards, then discard two cards."
Cephalid Sage	{3}{U}	4	U	Creature — Octopus	Octopus	2	3	EMA, TOR	1168	25015	Threshold — As long as there are seven or more cards in your graveyard, this creature has "When this creature enters, draw three cards, then discard two cards."
Mirror Wall	{3}{U}	4	U	Creature — Wall	Wall	3	4	JUD	1134	28501	Defender (This creature can't attack.) / {W}: This creature can attack this turn as though it didn't have defender.
Mirror Wall	{3}{U}	4	U	Creature — Wall	Wall	3	4	JUD	1134	28501	Defender (This creature can't attack.) / {W}: This creature can attack this turn as though it didn't have defender.
Mirror Wall	{3}{U}	4	U	Creature — Wall	Wall	3	4	JUD	1134	28501	Defender (This creature can't attack.) / {W}: This creature can attack this turn as though it didn't have defender.
Possessed Aven	{2}{U}{U}	4	U	Creature — Bird Soldier Horror	Bird, Soldier, Horror	3	3	TOR	1155	29364	Flying / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1, is black, and has "{2}{B}, {T}: Destroy target blue creature."
Aven Windreader	{3}{U}{U}	5	U	Creature — Bird Soldier Wizard	Bird, Soldier, Wizard	3	3	10E, 9ED, ODY, PSAL	1120	28740	Flying (This creature can't be blocked except by creatures with flying or reach.) / {1}{U}: Target player reveals the top card of their library.
Aven Windreader	{3}{U}{U}	5	U	Creature — Bird Soldier Wizard	Bird, Soldier, Wizard	3	3	10E, 9ED, ODY, PSAL	1120	28740	Flying (This creature can't be blocked except by creatures with flying or reach.) / {1}{U}: Target player reveals the top card of their library.
Aven Windreader	{3}{U}{U}	5	U	Creature — Bird Soldier Wizard	Bird, Soldier, Wizard	3	3	10E, 9ED, ODY, PSAL	1120	28740	Flying (This creature can't be blocked except by creatures with flying or reach.) / {1}{U}: Target player reveals the top card of their library.
Balshan Griffin	{3}{U}{U}	5	U	Creature — Griffin	Griffin	3	2	ODY	1164	31121	Flying / {1}{U}, Discard a card: Return this creature to its owner's hand.
Balshan Griffin	{3}{U}{U}	5	U	Creature — Griffin	Griffin	3	2	ODY	1164	31121	Flying / {1}{U}, Discard a card: Return this creature to its owner's hand.
Scalpelexis	{4}{U}	5	U	Creature — Beast	Beast	1	5	10E, JUD, PLST	1196	27819	Flying (This creature can't be blocked except by creatures with flying or reach.) / Whenever this creature deals combat damage to a player, that player exiles the top four cards of their library. If two or more of those cards have the same name, repeat this process.
Scrivener	{4}{U}	5	U	Creature — Human Wizard	Human, Wizard	2	2	EXO, ODY, TPR, VMA	1159	22875	When this creature enters, you may return target instant card from your graveyard to your hand.
Scrivener	{4}{U}	5	U	Creature — Human Wizard	Human, Wizard	2	2	EXO, ODY, TPR, VMA	1159	22875	When this creature enters, you may return target instant card from your graveyard to your hand.
Scrivener	{4}{U}	5	U	Creature — Human Wizard	Human, Wizard	2	2	EXO, ODY, TPR, VMA	1159	22875	When this creature enters, you may return target instant card from your graveyard to your hand.
Aboshan, Cephalid Emperor	{4}{U}{U}	6	U	Legendary Creature — Octopus Noble	Octopus, Noble	3	3	ODY, PLST	1135	19304	Tap an untapped Octopus you control: Tap target permanent. / {U}{U}{U}: Tap all creatures without flying.
Amugaba	{5}{U}{U}	7	U	Creature — Illusion	Illusion	6	6	ODY	1127	29683	Flying / {2}{U}, Discard a card: Return this creature to its owner's hand.
Shadowmage Infiltrator	{1}{U}{B}	3	U, B	Creature — Human Wizard	Human, Wizard	1	3	A25, C17, MM2, NCC, ODY, OTC, PRM, TSB	1270	5336	Fear (This creature can't be blocked except by artifact creatures and/or black creatures.) / Whenever this creature deals combat damage to a player, you may draw a card.
Mystic Penitent	{W}	1	W	Creature — Human Nomad Mystic	Human, Nomad, Mystic	1	1	ODY	1130	30097	Vigilance / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1 and has flying.
Mystic Penitent	{W}	1	W	Creature — Human Nomad Mystic	Human, Nomad, Mystic	1	1	ODY	1130	30097	Vigilance / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1 and has flying.
Suntail Hawk	{W}	1	W	Creature — Bird	Bird	1	1	10E, 8ED, 9ED, JUD, M14, PS11	1159	19354	Flying
Suntail Hawk	{W}	1	W	Creature — Bird	Bird	1	1	10E, 8ED, 9ED, JUD, M14, PS11	1159	19354	Flying
Suntail Hawk	{W}	1	W	Creature — Bird	Bird	1	1	10E, 8ED, 9ED, JUD, M14, PS11	1159	19354	Flying
Beloved Chaplain	{1}{W}	2	W	Creature — Human Cleric	Human, Cleric	1	1	ODY, PLST	1237	17901	Protection from creatures
Beloved Chaplain	{1}{W}	2	W	Creature — Human Cleric	Human, Cleric	1	1	ODY, PLST	1237	17901	Protection from creatures
Mystic Familiar	{1}{W}	2	W	Creature — Bird	Bird	1	2	TOR	1066	27162	Flying / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1 and has protection from black.
Mystic Familiar	{1}{W}	2	W	Creature — Bird	Bird	1	2	TOR	1066	27162	Flying / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1 and has protection from black.
Mystic Familiar	{1}{W}	2	W	Creature — Bird	Bird	1	2	TOR	1066	27162	Flying / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1 and has protection from black.
Mystic Visionary	{1}{W}	2	W	Creature — Human Nomad Mystic	Human, Nomad, Mystic	2	1	ODY	1121	31085	Threshold — This creature has flying as long as there are seven or more cards in your graveyard.
Mystic Visionary	{1}{W}	2	W	Creature — Human Nomad Mystic	Human, Nomad, Mystic	2	1	ODY	1121	31085	Threshold — This creature has flying as long as there are seven or more cards in your graveyard.
Mystic Visionary	{1}{W}	2	W	Creature — Human Nomad Mystic	Human, Nomad, Mystic	2	1	ODY	1121	31085	Threshold — This creature has flying as long as there are seven or more cards in your graveyard.
Patrol Hound	{1}{W}	2	W	Creature — Dog	Dog	2	2	ODY	1170	25921	Discard a card: This creature gains first strike until end of turn.
Patrol Hound	{1}{W}	2	W	Creature — Dog	Dog	2	2	ODY	1170	25921	Discard a card: This creature gains first strike until end of turn.
Patrol Hound	{1}{W}	2	W	Creature — Dog	Dog	2	2	ODY	1170	25921	Discard a card: This creature gains first strike until end of turn.
Phantom Nomad	{1}{W}	2	W	Creature — Spirit Nomad	Spirit, Nomad	0	0	JUD, PSAL, VMA	1171	25529	This creature enters with two +1/+1 counters on it. / If damage would be dealt to this creature, prevent that damage. Remove a +1/+1 counter from this creature.
Phantom Nomad	{1}{W}	2	W	Creature — Spirit Nomad	Spirit, Nomad	0	0	JUD, PSAL, VMA	1171	25529	This creature enters with two +1/+1 counters on it. / If damage would be dealt to this creature, prevent that damage. Remove a +1/+1 counter from this creature.
Phantom Nomad	{1}{W}	2	W	Creature — Spirit Nomad	Spirit, Nomad	0	0	JUD, PSAL, VMA	1171	25529	This creature enters with two +1/+1 counters on it. / If damage would be dealt to this creature, prevent that damage. Remove a +1/+1 counter from this creature.
Soulcatcher	{1}{W}	2	W	Creature — Bird Soldier	Bird, Soldier	1	1	CNS, EMA, ODY	1152	13562	Flying / Whenever a creature with flying dies, put a +1/+1 counter on this creature.
Soulcatcher	{1}{W}	2	W	Creature — Bird Soldier	Bird, Soldier	1	1	CNS, EMA, ODY	1152	13562	Flying / Whenever a creature with flying dies, put a +1/+1 counter on this creature.
Auramancer	{2}{W}	3	W	Creature — Human Wizard	Human, Wizard	2	2	A25, DCI, DDL, DMR, DSC, J22, M12, M14, ODY, ORI, PC2, PCA, PRM, TD0	1182	4153	When this creature enters, you may return target enchantment card from your graveyard to your hand.
Auramancer	{2}{W}	3	W	Creature — Human Wizard	Human, Wizard	2	2	A25, DCI, DDL, DMR, DSC, J22, M12, M14, ODY, ORI, PC2, PCA, PRM, TD0	1182	4153	When this creature enters, you may return target enchantment card from your graveyard to your hand.
Auramancer	{2}{W}	3	W	Creature — Human Wizard	Human, Wizard	2	2	A25, DCI, DDL, DMR, DSC, J22, M12, M14, ODY, ORI, PC2, PCA, PRM, TD0	1182	4153	When this creature enters, you may return target enchantment card from your graveyard to your hand.
Lieutenant Kirtar	{1}{W}{W}	3	W	Legendary Creature — Bird Soldier	Bird, Soldier	2	2	DMR, ODY	1192	14800	Flying / {1}{W}, Sacrifice Lieutenant Kirtar: Exile target attacking creature.
Master Apothecary	{W}{W}{W}	3	W	Creature — Human Cleric	Human, Cleric	2	2	ODY	1085	24471	Tap an untapped Cleric you control: Prevent the next 2 damage that would be dealt to any target this turn.
Militant Monk	{1}{W}{W}	3	W	Creature — Human Monk Cleric	Human, Monk, Cleric	2	1	TOR	1137	30320	Vigilance / {T}: Prevent the next 1 damage that would be dealt to any target this turn.
Militant Monk	{1}{W}{W}	3	W	Creature — Human Monk Cleric	Human, Monk, Cleric	2	1	TOR	1137	30320	Vigilance / {T}: Prevent the next 1 damage that would be dealt to any target this turn.
Militant Monk	{1}{W}{W}	3	W	Creature — Human Monk Cleric	Human, Monk, Cleric	2	1	TOR	1137	30320	Vigilance / {T}: Prevent the next 1 damage that would be dealt to any target this turn.
Nomad Decoy	{2}{W}	3	W	Creature — Human Nomad	Human, Nomad	1	2	DMR, ODY	1111	25584	{W}, {T}: Tap target creature. / Threshold — {W}{W}, {T}: Tap two target creatures. Activate only if there are seven or more cards in your graveyard.
Nomad Decoy	{2}{W}	3	W	Creature — Human Nomad	Human, Nomad	1	2	DMR, ODY	1111	25584	{W}, {T}: Tap target creature. / Threshold — {W}{W}, {T}: Tap two target creatures. Activate only if there are seven or more cards in your graveyard.
Pianna, Nomad Captain	{1}{W}{W}	3	W	Legendary Creature — Human Nomad	Human, Nomad	2	2	CMM, ODY, VMA	1203	20905	Whenever Pianna attacks, attacking creatures get +1/+1 until end of turn.
Vigilant Sentry	{1}{W}{W}	3	W	Creature — Human Nomad	Human, Nomad	2	2	DMR, JUD	1046	29286	Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1 and has "{T}: Target attacking or blocking creature gets +3/+3 until end of turn."
Vigilant Sentry	{1}{W}{W}	3	W	Creature — Human Nomad	Human, Nomad	2	2	DMR, JUD	1046	29286	Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1 and has "{T}: Target attacking or blocking creature gets +3/+3 until end of turn."
Vigilant Sentry	{1}{W}{W}	3	W	Creature — Human Nomad	Human, Nomad	2	2	DMR, JUD	1046	29286	Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1 and has "{T}: Target attacking or blocking creature gets +3/+3 until end of turn."
Battlewise Aven	{3}{W}	4	W	Creature — Bird Soldier	Bird, Soldier	2	2	JUD	1077	29884	Flying / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1 and has first strike.
Battlewise Aven	{3}{W}	4	W	Creature — Bird Soldier	Bird, Soldier	2	2	JUD	1077	29884	Flying / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1 and has first strike.
Battlewise Aven	{3}{W}	4	W	Creature — Bird Soldier	Bird, Soldier	2	2	JUD	1077	29884	Flying / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1 and has first strike.
Blessed Orator	{3}{W}	4	W	Creature — Human Cleric	Human, Cleric	1	4	9ED, ODY	1170	24419	Other creatures you control get +0/+1.
Blessed Orator	{3}{W}	4	W	Creature — Human Cleric	Human, Cleric	1	4	9ED, ODY	1170	24419	Other creatures you control get +0/+1.
Commander Eesha	{2}{W}{W}	4	W	Legendary Creature — Bird Soldier	Bird, Soldier	2	4	JUD	1270	15205	Flying, protection from creatures
Mystic Zealot	{3}{W}	4	W	Creature — Human Nomad Mystic	Human, Nomad, Mystic	2	4	DMR, ODY, VMA	1083	30229	Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1 and has flying.
Mystic Zealot	{3}{W}	4	W	Creature — Human Nomad Mystic	Human, Nomad, Mystic	2	4	DMR, ODY, VMA	1083	30229	Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1 and has flying.
Mystic Zealot	{3}{W}	4	W	Creature — Human Nomad Mystic	Human, Nomad, Mystic	2	4	DMR, ODY, VMA	1083	30229	Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1 and has flying.
Possessed Nomad	{2}{W}{W}	4	W	Creature — Human Nomad Horror	Human, Nomad, Horror	3	3	TOR	1166	31135	Vigilance / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1, is black, and has "{2}{B}, {T}: Destroy target white creature."
Valor	{3}{W}	4	W	Creature — Incarnation	Incarnation	2	2	JUD, TSB	1172	13826	First strike / As long as this card is in your graveyard and you control a Plains, creatures you control have first strike.
Valor	{3}{W}	4	W	Creature — Incarnation	Incarnation	2	2	JUD, TSB	1172	13826	First strike / As long as this card is in your graveyard and you control a Plains, creatures you control have first strike.
Phantom Flock	{3}{W}{W}	5	W	Creature — Bird Soldier Spirit	Bird, Soldier, Spirit	0	0	DMR, JUD, PLST, PSAL	1099	22244	Flying / This creature enters with three +1/+1 counters on it. / If damage would be dealt to this creature, prevent that damage. Remove a +1/+1 counter from this creature.
Phantom Flock	{3}{W}{W}	5	W	Creature — Bird Soldier Spirit	Bird, Soldier, Spirit	0	0	DMR, JUD, PLST, PSAL	1099	22244	Flying / This creature enters with three +1/+1 counters on it. / If damage would be dealt to this creature, prevent that damage. Remove a +1/+1 counter from this creature.
Wayward Angel	{4}{W}{W}	6	W	Creature — Angel Horror	Angel, Horror	4	4	ODY	1132	29271	Flying, vigilance / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +3/+3, is black, has trample, and has "At the beginning of your upkeep, sacrifice a creature."
Ancestor's Chosen	{5}{W}{W}	7	W	Creature — Human Cleric	Human, Cleric	4	4	10E, JUD, UMA	1167	24581	First strike (This creature deals combat damage before creatures without first strike.) / When this creature enters, you gain 1 life for each card in your graveyard.
Ancestor's Chosen	{5}{W}{W}	7	W	Creature — Human Cleric	Human, Cleric	4	4	10E, JUD, UMA	1167	24581	First strike (This creature deals combat damage before creatures without first strike.) / When this creature enters, you gain 1 life for each card in your graveyard.
Silver Seraph	{5}{W}{W}{W}	8	W	Creature — Angel	Angel	6	6	JUD	1140	25626	Flying / Threshold — Other creatures you control get +2/+2 as long as there are seven or more cards in your graveyard.
Phantom Nishoba	{5}{G}{W}	7	W, G	Creature — Cat Beast Spirit	Cat, Beast, Spirit	0	0	C17, DMR, JUD, WC02, WC03	1263	13664	Trample / This creature enters with seven +1/+1 counters on it. / Whenever this creature deals damage, you gain that much life. / If damage would be dealt to this creature, prevent that damage. Remove a +1/+1 counter from this creature.
Iridescent Angel	{5}{W}{U}	7	W, U	Creature — Angel	Angel	4	4	ODY, V15	1174	24572	Flying, protection from each color
