name	cost	mv	type	colors	cube_color	section	colorshift	role	in_block	elo	edh	dead	strong	errata	oob	sets	archetypes	note
Liliana's Caress	{1}{B}	2	Enchantment	B	B	Mono-B		discard punisher (life loss)	N/A	1180	2456	0	0	0	0	M11, PLST	prison;wheel	Opp discard -> -2 life; wheel payoff
Night's Whisper	{1}{B}	2	Sorcery	B	B	Mono-B		Card draw at life cost + storm count; pre-combo dig	N/A	1305	185	0	0	0	0	5DN, DDM, DMC, DSC, ECC, EMA, EOC, FIC, J25, LTC, MOC, MSC, ONC, PLST, PW24, SLD, SOC, VOC	adnauseam-storm;life-loss	Redundant with Sign in Blood (singleton: keep both, both find homes)
Shadow of the Grave	{1}{B}	2	Instant	B	B	Mono-B		engine: refill discarded/cycled hand	N/A	1232	8736	0	0	0	0	AKH, AKR, PAKH	gy-storm;hellbent	Loops One With Nothing/cycling; storm fuel + hand refill
Sickening Dreams	{1}{B}	2	Sorcery	B	B	Mono-B		discard-X sweeper + drain (in-block)	N/A	1249	14220	0	0	0	0	PD3, TOR, WC03	gy-storm;hellbent	Discard X = X dmg all; storm/hellbent board wipe + reach
Sign in Blood	{B}{B}	2	Sorcery	B	B	Mono-B		Card draw at life cost + storm count; pre-combo dig	N/A	1420	6675	0	0	0	0	PSOS, SOS	adnauseam-storm;life-loss	Cheap draw + storm; life-loss synergy with Phyrexian Unlife / Mirror Universe deck
Smallpox	{B}{B}	2	Sorcery	B	B	Mono-B		symmetric resource denial	N/A	1237	5533	0	0	0	0	CNS, DDR, M12, SOA, TSP, TSR	hellbent;prison	You go hellbent + life-loss; powers Ensnaring Bridge plan
Tainted Pact	{1}{B}	2	Instant	B	B	Mono-B		library-thinning combo (in-block)	N/A	1386	794	0	0	0	0	ODY, STA	combo	ODY! Empties library for Lab Maniac/Lightning Storm line
Tavern Swindler	{1}{B}	2	Creature — Human Rogue	B	B	Mono-B		Coin-flip life sink: pay 3 life, flip to gain 6. Life-as-resource + the cube's coin-flip theme.	Out-exception	1070	11902	0	0	0	1	BBD, DDM, IMA, M21, PLST, RTR, SNC		Out-of-block creature; rare double-theme fit (life + coin-flip). Very low power.
Vault Skirge	{1}{B/P}	2	Artifact Creature — Phyrexian Imp	B	B	Mono-B		Phyrexian-mana lifelink flyer: cast for 2 life, then trickle life back. Life-as-resource curve filler.	Out-exception	1303	11596	0	0	0	1	DCI, HA5, NPH, PRM		Out-of-block creature; Phyrexian-mana pay-life + lifelink. Elo higher; trim if needed.
Waste Not	{1}{B}	2	Enchantment	B	B	Mono-B		wheel payoff engine	N/A	1259	1254	0	0	0	0	C16, HA2, M15, SLD, TMC, WOT	wheel	Opp discard -> tokens/mana/cards; best w/ Windfall/wheels
Aphetto Exterminator	{2}{B}	3	Creature — Human Wizard	B	B	Mono-B		Morph -3/-3 removal tempo trick; blowout combat; flexible body; honest one-shot	ONS-block	1217	24685	0	0	0	0	LGN, PLST		Unmorph = surprise -3/-3; morph adds decision depth
Bitter Ordeal	{2}{B}	3	Sorcery	B	B	Mono-B		Gravestorm kill — exile opponent's library card per permanent that died	Out-exception	1230	13915	0	0	0	0	FUT	adnauseam-storm;graveyard-storm	Non-creature → any-era OK; gravestorm mill kill, bridges to graveyard-storm theme
Bottomless Pit	{1}{B}{B}	3	Enchantment	B	B	Mono-B		symmetric random discard	N/A	1183	5475	0	0	0	0	SLD, STH	hellbent;prison	Per-upkeep discard; redundant Necrogen but random
Cabal Archon	{2}{B}	3	Creature — Human Cleric	B	B	Mono-B		Aristocrats sac-outlet/drain engine; Cleric payoff; BG Smokestack-Golgari sac fodder converter	ONS-block	1104	21040	0	0	0	0	ONS		Free repeatable sac outlet + drain; honest grindy aristocrats win-con
Cabal Torturer	{1}{B}{B}	3	Creature — Human Minion	B	B	Mono-B		Repeatable -1/-1 plague pinger; threshold upgrades to -2/-2; GY payoff removal	ODY-block	1169	26342	0	0	0	0	TOR		-1/-1 plague tapper; threshold scales it; cheap repeatable
Dark Prophecy	{B}{B}{B}	3	Enchantment	B	B	Mono-B		Aristocrats pay-life draw: creatures dying draw cards and bleed your life as a resource.	N/A	1207	4239	0	0	0	0	M14		Non-creature. Triple-black greed; pairs with weak sac fodder.
Dark Tutelage	{2}{B}	3	Enchantment	B	B	Mono-B		Passive life-as-resource card advantage: reveal top, draw, lose life = its MV. Self-lowering.	N/A	1191	5750	0	0	0	0	M11, WOT		Non-creature. Variable lifeloss feeds Death's Shadow / Font of Agonies.
Doomsday	{B}{B}{B}	3	Sorcery	B	B	Mono-B		combo build-around (alt-win)	N/A	1278	5645	0	0	0	0	6ED, A25, MB2, MP2, MSC, PLST, PRM, SLD, WTH	combo	5-card pile -> Lab Maniac/Tendrils kill; fragile sorcery
Ebonblade Reaper	{2}{B}	3	Creature — Human Cleric	B	B	Mono-B		High-risk halve-their-life alt-aggro finisher; morph; honest fragile combo-y payoff; Cleric	ONS-block	1145	9725	0	0	0	0	ONS		Halves opponent life on connect; pays own life; swingy-but-fragile
Embalmed Brawler	{2}{B}	3	Creature — Zombie	B	B	Mono-B		Amplify Zombie payoff; scaling beater with life-loss drawback; tribal build-around	ONS-block	1194	29754	0	0	0	0	LGN		Amplify scaler; honest drawback caps power; Zombie tribal
Faith of the Devoted	{2}{B}	3	Enchantment	B	B	Mono-B		discard/cycle drain engine	N/A	1247	8077	0	0	0	0	AKH, C19, HA4	gy-storm;hellbent	Drain per cycle/discard; honest w/ cycling lands+Raven's Crime
Ghastly Remains	{B}{B}{B}	3	Creature — Zombie	B	B	Mono-B		Amplify Zombie recursion engine; self-returns from GY each upkeep; recurring fodder/threat	ONS-block	1248	28233	0	0	0	0	LGN		User-named Zombie recursion; Amplify scaler; endless sac fodder
Gravegouger	{2}{B}	3	Creature — Nightmare Horror	B	B	Mono-B		Temporary GY-exile body; tempo GY-hate vs threshold/reanimator; sac-synergy (returns on death)	ODY-block	1129	28074	0	0	0	0	TOR		Soft GY-hate body; sac it to flicker the exile; interactive
Hollow Specter	{1}{B}{B}	3	Creature — Specter	B	B	Mono-B		Evasive scalable hand-disruption; flyer that strips chosen cards on combat damage; discard payoff	ONS-block	1258	23607	0	0	0	0	LGN		Specter discard clock; mana-sink targeted disruption; slow grind
Iron Maiden	{3}	3	Artifact		B	Mono-B	B	Black Vise hitting ALL opponents; X = hand - 4 each upkeep	N/A	1129	8447	0	0	0	0	SLD, ULG		SURPLUS. Functionally = Black Vise in 1v1; pick ONE for singleton. Vise cheaper.
Megrim	{2}{B}	3	Enchantment	B	B	Mono-B		discard punisher (damage)	N/A	1258	2609	0	0	0	0	10E, 7ED, 8ED, 9ED, DPA, M10, PS11, STH	prison;wheel	Opp discard -> 2 dmg; redundant w/ Caress, both fine surplus
Misers' Cage	{3}	3	Artifact		B	Mono-B	B	softer flooded-hand punisher: 2 dmg if opponent has 5+ cards	N/A	1093	19264	0	0	0	0	MIR		COLORSHIFT->B. Lower threshold (5) than Ebony Owl; redundant-ish, surplus.
Necrogen Mists	{2}{B}	3	Enchantment	B	B	Mono-B		symmetric per-upkeep discard	N/A	1227	6347	0	0	0	0	MRD, SLD	hellbent;prison	Fuels your madness/hellbent while emptying opp
Necropotence	{B}{B}{B}	3	Enchantment	B	B	Mono-B		hellbent enabler (flag #16)	N/A	1348	503	0	1	0	0	5ED, DKM, EMA, ICE, IMA, ME2, OLEP, PTC, SLC, V09, VMA, WOT	hellbent	Iconic empty-hand engine BUT camps board = #16 tension; flag
Organ Grinder	{2}{B}	3	Creature — Zombie	B	B	Mono-B		GY-storm drain finisher; exile 3 GY cards to drain 3; honest repeatable reach; mill payoff	ODY-block	1190	29236	0	0	0	0	TOR	gy-storm	Converts fat GY into damage; slow inevitability; GY-storm reach
Phyrexian Arena	{1}{B}{B}	3	Enchantment	B	B	Mono-B		Iconic pay-life-each-turn draw engine: bleed 1 life per extra card. The clean life-as-resource staple.	N/A	1353	97	0	0	0	0	8ED, 9ED, APC, C15, CC2, CN2, DDE, FDN, HA1, HOP, MKC, ONE, PFDN, PLST, PONE, SLD, TD0, WC01		Power UPPER BOUND (elo 1353); cleanest pay-life engine. Borderline-strong; cut first if too efficient.
Rotlung Reanimator	{2}{B}	3	Creature — Zombie Cleric	B	B	Mono-B		Aristocrats token engine; dies-trigger Cleric makes 2/2 Zombies; pairs Cabal Archon/Smokestack	ONS-block	1235	15113	0	0	0	0	ONS		Engine: Cleric death -> Zombie token; feeds sac outlets repeatedly
Smokespew Invoker	{2}{B}	3	Creature — Zombie Mutant	B	B	Mono-B		Mana-sink -3/-3 removal on a Zombie body; late-game inevitability; tribal	ONS-block	1172	29941	0	0	0	0	LGN		Expensive repeatable removal; Zombie for tribal; slow value
Tainted Remedy	{2}{B}	3	Enchantment	B	B	Mono-B		Anti-lifegain: opponents' lifegain becomes lifeloss. Life-matters hatebear + Mirror Universe synergy.	N/A	1227	6638	0	0	0	0	EA1, ORI		Non-creature. Punishes opponent lifegain; combos with giving them your low total.
Treacherous Werewolf	{2}{B}	3	Creature — Werewolf Minion	B	B	Mono-B		Vanilla-until-threshold 3/3-equivalent; cheap GY payoff body with death drawback	ODY-block	1143	30386	0	0	0	0	JUD, PLST		Threshold beater; downside on death keeps it fair
Underworld Connections	{1}{B}{B}	3	Enchantment — Aura	B	B	Mono-B		Land becomes a pay-1-life draw engine. Slow, grindy life-as-resource advantage.	N/A	1210	4792	1	0	0	0	C15, C17, DDM, PW24, RTR, VOC		Aura on a land; inert without a land but trivially enabled. Low power.
Underworld Dreams	{B}{B}{B}	3	Enchantment	B	B	Mono-B	B	draw punisher (symmetric)	N/A	1218	1418	0	0	0	0	10E, 8ED, 9ED, DPA, LEG, M10, P2HG, PRM, PS11, SLD, THB	prison	Opp draw -> 1 dmg; you skip draws via hellbent/Necro
Unspeakable Symbol	{1}{B}{B}	3	Enchantment	B	B	Mono-B		In-block pay-life mana sink: pay 3 life for a +1/+1 counter, repeatable. Lowers own life for Death's Shadow.	ONS-block	1150	5874	0	0	0	0	PLST, SCG		In-block (SCG). Counters + life-as-resource; self-lowers life synergy.
Walking Desecration	{2}{B}	3	Creature — Zombie	B	B	Mono-B		Repeatable goad-by-type; forces attacks to enable aristocrats/blocks; political tempo tool; Zombie	ONS-block	1118	26384	0	0	0	0	ONS		Forced-attack lever; opens blocks for removal/aristocrats; decision tool
Wheel of Torture	{3}	3	Artifact		B	Mono-B	B	The Rack hitting ALL opponents; X = 3 - hand size each upkeep	N/A	1087	16642	0	0	0	0	PLST, ULG		SURPLUS. Near-dup of The Rack in 1v1; choose one for singleton.
Yawgmoth's Will	{2}{B}	3	Sorcery	B	B	Mono-B		one-shot GY replay (judge #16)	N/A	1384	2554	0	1	0	0	G07, PRM, USG, VMA, WC00, WC99	gy-storm;storm	Spent sorcery, EOT exile = honest one-shot; flag for review
Zombie Trailblazer	{B}{B}{B}	3	Creature — Zombie Scout	B	B	Mono-B		Zombie tap-engine grants swampwalk/manafix; tribal evasion enabler; pairs Filth/Shade	ODY-block	1167	14338	0	0	0	0	TOR		Zombie-tribal swampwalk enabler; turns tokens into evasion; synergy hub
Balthor the Defiled	{2}{B}{B}	4	Legendary Creature — Zombie Dwarf	B	B	Mono-B		One-shot mass reanimation (B/R) STAPLED to exiling Balthor; honest spent payoff; Minion lord	ODY-block	1261	9076	0	0	0	0	JUD, SLD	gy-storm;reanimator	Reanimation commitment spent (exiles self); symmetric; not a value camp
Brink of Madness	{2}{B}{B}	4	Enchantment	B	B	Mono-B		hellbent payoff (strip opp hand)	N/A	1172	25376	0	0	0	0	PLST, ULG	hellbent	Empty hand -> opp discards hand; sac-fires, one-shot-ish
Cabal Surgeon	{2}{B}{B}	4	Creature — Human Minion	B	B	Mono-B		GY-fueled creature recursion-to-hand; rebuys sac fodder; threshold tension (exiles own GY)	ODY-block	1083	28886	0	0	0	0	TOR		Repeatable creature buyback; self-GY-exile is honest cost
Cursed Rack	{4}	4	Artifact		B	Mono-B	B	lock piece: sets a chosen opponent's max hand size to 4 (caps their wheel)	N/A	1204	21670	0	0	0	0	4BB, 4ED, ATQ, ME1, REN, RIN		COLORSHIFT->B. Hand-size LOCK; forces discards into The Rack range. Slow, fragile.
Deathmark Prelate	{3}{B}	4	Creature — Human Cleric	B	B	Mono-B		Repeatable Zombie-sac removal; pairs Rotlung Zombie tokens; aristocrats removal engine	ONS-block	1170	26357	0	0	0	0	LGN		Sac-outlet removal; eats Rotlung tokens; slow grindy control
Earsplitting Rats	{3}{B}	4	Creature — Rat	B	B	Mono-B		ETB symmetric discard + discard-to-regen recursion; madness/hellbent enabler body	ODY-block	1188	20964	0	0	0	0	JUD	gy-storm;madness	Repeatable self-discard outlet (madness/threshold/hellbent enabler)
Famished Ghoul	{3}{B}	4	Creature — Zombie	B	B	Mono-B		Sac fodder + GY-hate; self-sac to exile cards; aristocrats body that disrupts threshold mirror	ODY-block	1136	30682	0	0	0	0	ODY		Body + on-demand GY exile; sac fodder with utility
Filth	{3}{B}	4	Creature — Incarnation	B	B	Mono-B		GY-static evasion engine; from-GY grants team swampwalk; self-mill/sac payoff, alpha-strike enabler	ODY-block	1252	4699	0	0	0	0	JUD, PLST	aggro;gy-storm	Incarnation; best in GY; rewards milling/discarding it
Gloomdrifter	{3}{B}	4	Creature — Zombie Minion	B	B	Mono-B		Threshold -2/-2 anthem-sweep flyer; GY payoff board-control; Zombie tribal flyer	ODY-block	1164	26302	0	0	0	0	TOR		Threshold ETB mini-Plague; mono-B punisher; needs GY online
Greed	{3}{B}	4	Enchantment	B	B	Mono-B		Low-power pay-life draw engine: the honest mana/life sink for the life-resource deck.	N/A	1205	2072	0	0	0	0	4BB, 4ED, 6ED, 7ED, C13, C21, LEG, MH2, REN, SLD		Non-creature. Slow {B}+2 life per card; era-appropriate Necropotence-lite.
Grinning Demon	{2}{B}{B}	4	Creature — Demon	B	B	Mono-B		Aggressive 6/6 with upkeep life-loss drawback; morph; honest beefy beater (not a bomb)	ONS-block	1255	19413	0	0	0	0	ONS		6/6 for 4 with real life-drawback; morph trick; aggressive top
Haunted Cadaver	{3}{B}	4	Creature — Zombie	B	B	Mono-B		Sac-for-discard-three on combat connect; morph; hand-attack + sac synergy; Zombie	ONS-block	1189	26928	0	0	0	0	ONS		Connect -> sac -> discard 3; doubles as sac fodder; morph
Ill-Gotten Gains	{2}{B}{B}	4	Sorcery	B	B	Mono-B		wheel + GY recursion (storm)	N/A	1181	13707	0	0	0	0	CNS, USG	gy-storm;storm;wheel	Empties hands, regrows 3 from GY; storm engine glue
Infernal Caretaker	{3}{B}	4	Creature — Human Cleric	B	B	Mono-B		Zombie mass-recursion via morph; refuels tribal/aristocrats; slow value engine	ONS-block	1107	27964	0	0	0	0	LGN		Bulk Zombie reanimation-to-hand; morph hides it; grindy
Lich	{B}{B}{B}{B}	4	Enchantment	B	B	Mono-B		Iconic fragile life-as-resource: drop to 0, survive, gain=draw. Dies = you lose. Build-around.	N/A	1128	19381	0	0	0	0	2ED, 30A, CED, CEI, LEA, LEB, ME4		Non-creature. Extremely fragile (any damage/removal can kill you). On-philosophy.
Nihilistic Glee	{2}{B}{B}	4	Enchantment	B	B	Mono-B		hellbent card-advantage + drain	N/A	1093	25581	0	0	0	0	DIS	hellbent	Empty-hand card draw + discard drain; honest grind
Painbringer	{2}{B}{B}	4	Creature — Human Minion	B	B	Mono-B		GY-fueled -X/-X removal; threshold/self-mill payoff; sac-your-graveyard finisher-removal	ODY-block	1167	28799	0	0	0	0	ODY		Scaling -X/-X off GY; rewards self-mill; honest one-tap-per-turn
Psychotic Haze	{2}{B}{B}	4	Instant	B	B	Mono-B		madness sweeper (in-block)	N/A	1128	17565	0	0	0	0	TOR	madness	Block madness payoff; pings board+players
Shambling Swarm	{1}{B}{B}{B}	4	Creature — Horror	B	B	Mono-B		-1/-1 plague on death; sac it for a board-sweep of three -1/-1 counters; aristocrats removal	ODY-block	1192	24556	0	0	0	0	TOR		User-named plague; death-trigger -1/-1 spread; combos sac outlets
Stunning Reversal	{3}{B}	4	Instant	B	B	Mono-B		Anti-loss + set self to 1: dodge lethal, draw 7, then swap 1-life away with Mirror Universe.	N/A	1198	11233	0	0	0	0	BBD		One-shot instant; sets you to 1 = explicit Mirror Universe / Death's Shadow enabler.
Tendrils of Agony	{2}{B}{B}	4	Sorcery	B	B	Mono-B		Line A storm kill — drain 2 per prior spell, gain life	ONS-block	1263	5488	0	0	0	0	F08, MB2, PEWK, PRM, SCG, SLD, STA, VMA	adnauseam-storm;gy-storm;storm	SCG printing = in-block; mono-B storm payoff, lifegain offsets Ad Nauseam
Tendrils of Corruption	{3}{B}	4	Instant	B	B	Mono-B		removal + lifegain (Swamps)	N/A	1215	8727	0	0	0	0	C14, DDD, DDE, DDR, GVL, HA1, M10, PLST, TSP, TSR	control	Swamp-count removal; mono-B glue, not combo
Viseling	{4}	4	Artifact Creature — Phyrexian Construct		B	Mono-B	B	CUT CANDIDATE: Iron Maiden on a body; out-of-block + redundant	Out-exception	1134	10627	0	0	0	1	C13, NEM		RECOMMEND CUT: violates creature rule (NEM Construct) AND duplicates Iron Maiden.
Whispering Shade	{3}{B}	4	Creature — Shade	B	B	Mono-B		Classic mana-sink Shade; swampwalk evasion; floods soak into a clock; honest low-power threat	ODY-block	1180	26979	0	0	0	0	ODY		Mana-sink Shade with evasion; rewards flooding; iconic 90s feel
Ad Nauseam	{3}{B}{B}	5	Instant	B	B	Mono-B		Centerpiece — draw a chunk (or whole library) at life cost	N/A	1349	1305	0	0	0	0	2XM, ALA, SOA	adnauseam-modern-draw-out;adnauseam-storm;combo;storm	Package centerpiece; honest spell, cast-and-spent (#4/#16)
Dark Petition	{3}{B}{B}	5	Sorcery	B	B	Mono-B		Tutor that refunds BBB with spell mastery — finds Ad Nauseam, semi-rituals	N/A	1256	3830	0	0	0	0	ORI, PIO, PORI, SCH, SLD	adnauseam-storm	Slow build-around tutor (spell mastery) — on-theme vs Demonic Tutor (excluded)
Grotesque Hybrid	{4}{B}	5	Creature — Zombie	B	B	Mono-B		Discard-outlet deathtouch-style evasive threat; madness/hellbent enabler; repeatable self-discard	ODY-block	1206	27523	0	0	0	0	TOR		Free repeatable discard outlet + evasion; fuels madness/hellbent
Promise of Power	{2}{B}{B}{B}	5	Sorcery	B	B	Mono-B		One-shot life-as-resource: draw 5 lose 5, or a demon. Honest, spell-stapled.	N/A	1153	12279	0	0	0	0	C14, DDC, DVD, MRD, PLST		Modal spell; the draw-5-lose-5 mode is the life-resource line.
Sanguine Bond	{3}{B}{B}	5	Enchantment	B	B	Mono-B		Lifegain-to-drain payoff: gain life, opponent loses that much. Pairs with Cleric lifegain shell.	N/A	1196	492	0	0	0	0	C13, C17, C21, IMA, LTC, M10, M14, SLD, TSR, WOT		Named. Kept SINGLE copy of this effect (excluded Vito/Defiant Bloodlord). NO Exquisite Blood (infinite).
Street Wraith	{3}{B}{B}	5	Creature — Wraith	B	B	Mono-B		Free cantrip via cycle for 2 life — +1 storm count, thins/digs	Out-exception	1291	5402	0	0	0	1	A25, DMR, FUT, MB2, MMA, PLST, TSR	adnauseam-storm	Out-of-block creature but only ever cycled (free storm cantrip, 2 life); never hard-cast
Aphetto Vulture	{4}{B}{B}	6	Creature — Zombie Bird	B	B	Mono-B		Zombie recursion on death; flying body; reloads aristocrats; tribal value	ONS-block	1134	27635	0	0	0	0	ONS		Death-trigger Zombie recur; sac it to rebuy itself/another Zombie
Gibbering Descent	{4}{B}{B}	6	Enchantment	B	B	Mono-B		hellbent payoff (symmetric drain+mill)	N/A	1146	15419	0	0	0	0	FUT	hellbent;madness	Hellbent skips upkeep cost; madness self-cast. Drain engine
Silent Specter	{4}{B}{B}	6	Creature — Specter	B	B	Mono-B		Evasive double-discard finisher; morph for surprise; top-end hand-attack; discard payoff	ONS-block	1251	22167	0	0	0	0	ONS, PONS, PRM		Hippie-on-steroids discard flyer; morph adds trickery; fair top-end
Wound Reflection	{5}{B}	6	Enchantment	B	B	Mono-B		Life-loss doubler: opponents lose again at end step what they lost this turn. Drain amplifier.	N/A	1203	1927	0	0	0	0	2XM, SHM, WHO		Named. Slow 6-drop payoff; pairs with any drain/burn.
Price of Knowledge	{6}{B}	7	Enchantment	B	B	Mono-B		top-end flooded-hand payoff: each opp upkeep takes dmg = their hand size	N/A	1180	11883	0	0	0	0	C13		7-mana haymaker; Iron Maiden with no -4. Slow finisher for the wheel pile.
Repay in Kind	{5}{B}{B}	7	Sorcery	B	B	Mono-B		Set everyone to the lowest life total: one-shot symmetrical reset, you set up to win. Honest spell.	N/A	1148	7631	0	0	0	0	PLST, ROE		One-shot. Pairs with your own low life as the floor; then drain them out.
Zombie Brute	{6}{B}	7	Creature — Zombie	B	B	Mono-B		Top-end Amplify Zombie trampler; tribal payoff/finisher; slow honest beater	ONS-block	1206	28940	0	0	0	0	LGN		Big dumb Amplify trample finisher; 7-drop keeps it slow
Profane Transfusion	{6}{B}{B}{B}	9	Sorcery	B	B	Mono-B		Mono-black Mirror Universe on a spell: swap totals + make a token of the gap. Honest one-shot finisher.	N/A	1121	7094	0	0	0	0	CMR, PRM		Spell-stapled life swap; expensive, fair. Black version of the Mirror finisher.
Shadow of Mortality	{13}{B}{B}	15	Creature — Avatar	B	B	Mono-B		Nearest equivalent to nonexistent 'Shadow of the Industry': cheaper the lower your life.	Out-exception	1177	4440	0	0	0	1	PRM, PSNC, SNC		'Shadow of the Industry' NOT in DB; this is the closest low-life payoff. Out-of-block.
Birchlore Rangers	{G}	1	Creature — Elf Druid Ranger	G	G	Mono-G		Tap-two-Elves ramp (any color); High Tide fuel	ONS-block	1246	11320	0	0	0	0	ONS, PSAL		Elf mana; fixes for splashes + big-X.
Carpet of Flowers	{G}	1	Enchantment	G	G	Mono-G		Anti-blue ramp (fuels big-X / High Tide hate)	N/A	1312	1194	0	0	0	0	FCA, PLST, SLD, USG, WHO	anti-Island;big-mana sink;ramp	Cross-ref the High Tide/Islands archetype; green ramp vs blue prison
Diligent Farmhand	{G}	1	Creature — Human Druid	G	G	Mono-G		Sac-ramp dork; fixes + thins	ODY-block	1285	11503	0	0	0	0	ODY, PLST		Early body, later ramp/fix; sac fodder.
Elvish Pioneer	{G}	1	Creature — Elf Druid	G	G	Mono-G		ETB extra land; 1-drop Elf for tribe	ONS-block	1276	9432	0	0	0	0	8ED, ONS, PRM		Elf body + ramp; enables tribal + ramp.
Helix Pinnacle	{G}	1	Enchantment	G	G	Mono-G		Green counter alt-win (tower → 100 = win); big-mana sink	N/A	1219	4524	1	0	1	0	EVE, PLST, SLD, SPG	big-mana sink;counter alt-win;proliferate	Glacial green wincon = pure mana sink; perfect Braid-of-Fire payoff; #12
Ivy Elemental	{X}{G}	1	Creature — Elemental	G	G	Mono-G		X counter body; mana sink + mover target	ODY-block	1159	17320	0	0	0	0	HOP, IKO, IMA, ODY		Ramp payoff + big counter pile to shuffle around.
Krosan Wayfarer	{G}	1	Creature — Human Druid	G	G	Mono-G		Sac for extra land drop; cheap dork body	ODY-block	1251	11103	0	0	0	0	JUD		One-shot ramp body; helps land-heavy ramp.
Elvish Vanguard	{1}{G}	2	Creature — Elf Warrior	G	G	Mono-G		Counter-grower off Elf ETBs	ONS-block	1196	14024	0	0	0	0	DDU, EMA, ONS, PSAL, SLD		Counter accrual + Elf flood; snowballs slowly.
Forcemage Advocate	{1}{G}	2	Creature — Centaur Shaman	G	G	Mono-G		Repeatable counter placer (advocate cost)	ODY-block	1124	25013	0	0	0	0	JUD		Drip counters each turn; symmetric drawback honest.
Ironshell Beetle	{1}{G}	2	Creature — Insect	G	G	Mono-G		Seeds a +1/+1 counter; cheap mover target	ODY-block	1144	18728	0	0	0	0	GRN, J22, JMP, JUD		Counter seeder for movers; fragile 2-drop.
Werebear	{1}{G}	2	Creature — Human Bear Druid	G	G	Mono-G		Mana dork; threshold beater payoff	ODY-block	1376	7921	0	0	0	0	DMR, EMA, ODY, PLST, TD0, WC02		Ramp early, 4/4 late; fuels big-red X.
Wirewood Elf	{1}{G}	2	Creature — Elf Druid	G	G	Mono-G		Mana dork; also an Elf for tribal	ONS-block	1341	15900	0	0	0	0	ONS		Llanowar-on-an-Elf; ramp + tribe count.
Wirewood Herald	{1}{G}	2	Creature — Elf	G	G	Mono-G		Sac-to-tutor Elf; chains flood pieces	ONS-block	1164	12238	0	0	0	0	DD1, EVG, ONS, PSAL		Body + Elf tutor; fuels tribal flood.
Wirewood Hivemaster	{1}{G}	2	Creature — Elf	G	G	Mono-G		Insect token engine off Elf ETBs	ONS-block	1239	19407	0	0	0	0	LGN, PSAL		Bodies flood off Elf drops; Opposition GW.
Anurid Barkripper	{1}{G}{G}	3	Creature — Frog Beast	G	G	Mono-G		Threshold beater; cheap aggressive body	ODY-block	1164	25628	0	0	0	0	JUD		2/2 to 4/4 threshold; also a Beast for Amplify.
Caller of the Claw	{2}{G}	3	Creature — Elf	G	G	Mono-G		Flash; rebuilds board into Bears after a wrath	ONS-block	1181	11317	0	0	0	0	C15, LGN, PSAL		Anti-sweeper flood; honest one-shot, no camp.
Chlorophant	{G}{G}{G}	3	Creature — Elemental	G	G	Mono-G		Self-growing counter battery for movers	ODY-block	1187	26905	0	0	0	0	ODY		Slow counter accrual; mover fuel + threshold payoff.
Choke	{2}{G}	3	Enchantment	G	G	Mono-G		Anti-mirror hate / Islands-prison turned outward — punishes Islands decks	N/A	1170	16760	0	0	0	0	8ED, MP2, TMP, WC99	high-tide-prison	Hoses opp who got their lands turned to Islands; sideboard-y green hate.
Fierce Empath	{2}{G}	3	Creature — Elf	G	G	Mono-G		Tutors a big payoff; Elf body for tribe	ONS-block	1276	2092	0	0	0	0	2XM, A25, ARC, CMD, CMM, DDU, FDN, M21, PLST, SCG, SLD		Finds top-end after ramp; consistency glue.
Nantuko Elder	{2}{G}	3	Creature — Insect Druid	G	G	Mono-G		Mana dork (adds C+G); fuels big-X	ODY-block	1284	11075	0	0	0	0	ODY, PLST		Two-mana ramp body; powers big-red X spells.
Nantuko Mentor	{2}{G}	3	Creature — Insect Druid	G	G	Mono-G		Repeatable combat pump engine	ODY-block	1176	22540	0	0	0	0	ODY		Doubles power; mana sink for grindy boards.
Phantom Nantuko	{2}{G}	3	Creature — Insect Spirit	G	G	Mono-G		Self-recharging counter shield; trample	ODY-block	1240	16134	0	0	0	0	C13, CMA, J22, JUD		Rebuilds its own shield; mover target too.
Phantom Tiger	{2}{G}	3	Creature — Cat Spirit	G	G	Mono-G		Counter-shield resilient body for Smokestack	ODY-block	1138	22293	0	0	0	0	IMA, JUD, PLST		Counter shield; absorbs damage, endures grind.
Squirrel Mob	{1}{G}{G}	3	Creature — Squirrel	G	G	Mono-G		Squirrel lord payoff for token flood	ODY-block	1212	5996	0	0	0	0	BLC, J21, MH2, ODY, PLST, SLD		Scales with Squirrel tokens; flood payoff.
Timberwatch Elf	{2}{G}	3	Creature — Elf	G	G	Mono-G		Elf-count combat pump; repeatable	ONS-block	1222	4484	0	0	0	0	C14, CMA, DD1, EMA, EVG, KHC, LGN, PLST, PSAL, SLD		Flood payoff; pushes damage in Elf decks.
Wirewood Savage	{2}{G}	3	Creature — Elf	G	G	Mono-G		Beast-matters card draw; Elf+Beast bridge	ONS-block	1276	11848	0	0	0	0	DDD, GVL, ONS		Card flow for Amplify-Beast builds; Elf body.
Canopy Crawler	{3}{G}	4	Creature — Beast	G	G	Mono-G		Amplify counters; team pump from counters	ONS-block	1165	28128	0	0	0	0	LGN		Beast counters + repeatable pump; counter theme.
