display_name	mana_cost	mv	colors	type	power	toughness	keywords	printings	cube_elo	edhrec_rank	text
Springing Tiger	{3}{G}	4	G	Creature — Cat	3	3	Threshold	ODY	1127.19283026712	30041	Threshold — This creature gets +2/+2 as long as there are seven or more cards in your graveyard.
Symbiotic Elf	{3}{G}	4	G	Creature — Elf	2	2		ONS, TD2	1145.47379663526	27879	When this creature dies, create two 1/1 green Insect creature tokens.
Zoologist	{3}{G}	4	G	Creature — Human Druid	1	2		ODY	1190.08419808342	24085	{3}{G}, {T}: Reveal the top card of your library. If it's a creature card, put it onto the battlefield. Otherwise, put it into your graveyard.
Barkhide Mauler	{4}{G}	5	G	Creature — Beast	4	4	Cycling	ONS	1196.11975097492	27751	Cycling {2} ({2}, Discard this card: Draw a card.)
Berserk Murlodont	{4}{G}	5	G	Creature — Beast	3	3		LGN	1139.5505104033	26659	Whenever a Beast becomes blocked, it gets +1/+1 until end of turn for each creature blocking it.
Elvish Soultiller	{3}{G}{G}	5	G	Creature — Elf Mutant	5	4		LGN	1168.31655650142	20281	When this creature dies, choose a creature type. Shuffle all creature cards of that type from your graveyard into your library.
Gigapede	{3}{G}{G}	5	G	Creature — Insect	6	1	Shroud	ONS, VMA	1203.94491077953	20473	Shroud (This creature can't be the target of spells or abilities.) / At the beginning of your upkeep, if this card is in your graveyard, you may discard a card. If you do, return this card to your hand.
Gorilla Titan	{3}{G}{G}	5	G	Creature — Ape	4	4	Trample	ODY	1200.23975568446	20616	Trample / This creature gets +4/+4 as long as there are no cards in your graveyard.
Gurzigost	{3}{G}{G}	5	G	Creature — Beast	6	8		TOR	1179.62788703664	27704	At the beginning of your upkeep, sacrifice this creature unless you put two cards from your graveyard on the bottom of your library. / {G}{G}, Discard a card: You may have this creature assign its combat damage this turn as though it weren't blocked.
Hystrodon	{4}{G}	5	G	Creature — Beast	3	4	Morph, Trample	ONS	1249.89570346567	19450	Trample / Whenever this creature deals combat damage to a player, you may draw a card. / Morph {1}{G}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Kurgadon	{4}{G}	5	G	Creature — Beast	3	3		SCG	1127.80083846909	27621	Whenever you cast a creature spell with mana value 6 or greater, put three +1/+1 counters on this creature.
Metamorphic Wurm	{3}{G}{G}	5	G	Creature — Elephant Wurm	3	3	Threshold	ODY	1223.71465074062	25818	Threshold — This creature gets +4/+4 as long as there are seven or more cards in your graveyard.
Primal Whisperer	{4}{G}	5	G	Creature — Elf Soldier	2	2	Morph	LGN	1172.65532026034	18812	This creature gets +2/+2 for each face-down creature on the battlefield. / Morph {3}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Rabid Elephant	{4}{G}	5	G	Creature — Elephant	3	4		ODY	1174.20385947057	28202	Whenever this creature becomes blocked, it gets +2/+2 until end of turn for each creature blocking it.
Spitting Gourna	{3}{G}{G}	5	G	Creature — Beast	3	4	Morph, Reach	ONS	1161.66049272351	29855	Reach (This creature can block creatures with flying.) / Morph {4}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Stag Beetle	{3}{G}{G}	5	G	Creature — Insect	0	0		ONS	1150.2712966045	19815	This creature enters with X +1/+1 counters on it, where X is the number of other creatures on the battlefield.
Totem Speaker	{4}{G}	5	G	Creature — Elf Druid	3	3		LGN	1190.57735478353	27776	Whenever a Beast enters, you may gain 3 life.
Vexing Beetle	{4}{G}	5	G	Creature — Insect	3	3		LGN	1201.26639328614	30600	This spell can't be countered. / This creature gets +3/+3 as long as no opponent controls a creature.
Brontotherium	{4}{G}{G}	6	G	Creature — Beast	5	3	Provoke, Trample	LGN	1163.3734535608	27404	Trample / Provoke (Whenever this creature attacks, you may have target creature defending player controls untap and block it if able.)
Centaur Veteran	{5}{G}	6	G	Creature — Centaur	3	3	Trample	TOR	1160.29896163483	30975	Trample / {G}, Discard a card: Regenerate this creature.
Crashing Centaur	{4}{G}{G}	6	G	Creature — Centaur	3	4	Threshold	ODY	1176.78076159987	30570	{G}, Discard a card: This creature gains trample until end of turn. / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +2/+2 and has shroud. (It can't be the target of spells or abilities.)
Feral Throwback	{4}{G}{G}	6	G	Creature — Beast	3	3	Amplify, Provoke	LGN, PLGN, PRM	1153.42973885	25224	Amplify 2 (As this creature enters, put two +1/+1 counters on it for each Beast card you reveal in your hand.) / Provoke (Whenever this creature attacks, you may have target creature defending player controls untap and block it if able.)
Giant Warthog	{5}{G}	6	G	Creature — Boar Beast	5	5	Trample	JUD	1087.90045235601	28613	Trample
Glowering Rogon	{5}{G}	6	G	Creature — Beast	4	4	Amplify	LGN	1131.64603660337	30275	Amplify 1 (As this creature enters, put a +1/+1 counter on it for each Beast card you reveal in your hand.)
Needleshot Gourna	{4}{G}{G}	6	G	Creature — Beast	3	6	Reach	LGN	1151.90279956497	30653	Reach (This creature can block creatures with flying.)
Treespring Lorian	{5}{G}	6	G	Creature — Beast	5	4	Morph	ONS	1106.94081109603	30494	Morph {5}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Woodcloaker	{5}{G}	6	G	Creature — Elf	3	3	Morph	SCG	1099.19318859115	25760	Morph {2}{G}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) / When this creature is turned face up, target creature gains trample until end of turn.
Ancient Ooze	{5}{G}{G}	7	G	Creature — Ooze	*	*		SCG	1179.40221003288	15739	Ancient Ooze's power and toughness are each equal to the total mana value of other creatures you control.
Hundroog	{6}{G}	7	G	Creature — Beast	4	7	Cycling	LGN	1137.56223613768	28455	Cycling {3} ({3}, Discard this card: Draw a card.)
Krosan Groundshaker	{4}{G}{G}{G}	7	G	Creature — Beast	6	6		ONS	1106.41850291891	27858	{G}: Target Beast creature gains trample until end of turn.
Stone-Tongue Basilisk	{4}{G}{G}{G}	7	G	Creature — Basilisk	4	5	Threshold	ODY, PODY, PRM	1144.32601302991	25546	Whenever this creature deals combat damage to a creature, destroy that creature at end of combat. / Threshold — As long as there are seven or more cards in your graveyard, all creatures able to block this creature do so.
Thriss, Nantuko Primus	{5}{G}{G}	7	G	Legendary Creature — Insect Druid	5	5		JUD	1188.64735735373	24026	{G}, {T}: Target creature gets +5/+5 until end of turn.
Venomspout Brackus	{6}{G}	7	G	Creature — Beast	5	5	Morph	ONS, PLST	1130.79221344612	27364	{1}{G}, {T}: This creature deals 5 damage to target attacking or blocking creature with flying. / Morph {3}{G}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Titanic Bulvox	{6}{G}{G}	8	G	Creature — Beast	7	4	Morph, Trample	SCG	1169.97980767242	24402	Trample / Morph {4}{G}{G}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Towering Baloth	{6}{G}{G}	8	G	Creature — Beast	7	6	Morph	ONS	1222.3565901317	25924	Morph {6}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Tunneler Wurm	{6}{G}{G}	8	G	Creature — Wurm	6	6		JUD	1086.36314330739	27282	Discard a card: Regenerate this creature.
Krosan Cloudscraper	{7}{G}{G}{G}	10	G	Creature — Beast Mutant	13	13	Morph	LGN, MKC, TSB	1193.6600636425	13154	At the beginning of your upkeep, sacrifice this creature unless you pay {G}{G}. / Morph {7}{G}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Dwarven Grunt	{R}	1	R	Creature — Dwarf	1	1	Landwalk, Mountainwalk	ODY, PLST	1100.92104211561	8238	Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)
Dwarven Scorcher	{R}	1	R	Creature — Dwarf	1	1		JUD	1156.16581471612	9775	Sacrifice this creature: This creature deals 1 damage to target creature unless that creature's controller has this creature deal 2 damage to them.
Enslaved Dwarf	{R}	1	R	Creature — Dwarf	1	1		TOR	1138.45914126514	10644	{R}, Sacrifice this creature: Target black creature gets +1/+0 and gains first strike until end of turn.
Goblin Grappler	{R}	1	R	Creature — Goblin	1	1	Provoke	LGN, WC03	1101.66096154278	19903	Provoke (Whenever this creature attacks, you may have target creature defending player controls untap and block it if able.)
Goblin Taskmaster	{R}	1	R	Creature — Goblin	1	1	Morph	ONS, PLST, WC03	1091.06215805776	23505	{1}{R}: Target Goblin creature gets +1/+0 until end of turn. / Morph {R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Liberated Dwarf	{R}	1	R	Creature — Dwarf	1	1		JUD	1167.43913881252	10559	{R}, Sacrifice this creature: Target green creature gets +1/+0 and gains first strike until end of turn.
Obstinate Familiar	{R}	1	R	Creature — Lizard	1	1		ODY	1098.13905235749	20244	If you would draw a card, you may skip that draw instead.
Spark Mage	{R}	1	R	Creature — Dwarf Wizard	1	1		ODY	1154.54203395732	10190	Whenever this creature deals combat damage to a player, you may have this creature deal 1 damage to target creature that player controls.
Warbreak Trumpeter	{R}	1	R	Creature — Goblin	1	1	Morph	LGN	1223.47393217208	21414	Morph {X}{X}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) / When this creature is turned face up, create X 1/1 red Goblin creature tokens.
Barbarian Outcast	{1}{R}	2	R	Creature — Human Barbarian Beast	2	2		TOR	1121.87229996982	30118	When you control no Swamps, sacrifice this creature.
Dwarven Blastminer	{1}{R}	2	R	Creature — Dwarf	1	1	Morph	ONS, PLST	1144.87541129554	12826	{2}{R}, {T}: Destroy target nonbasic land. / Morph {R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Goblin Firebug	{1}{R}	2	R	Creature — Goblin	2	2		LGN	1062.02254700033	27657	When this creature leaves the battlefield, sacrifice a land.
Goblin Lookout	{1}{R}	2	R	Creature — Goblin	1	2		LGN	1162.70336903744	9574	{T}, Sacrifice a Goblin: Goblin creatures get +2/+0 until end of turn.
Hunter Sliver	{1}{R}	2	R	Creature — Sliver	1	1		LGN, PSAL	1108.09667063202	13134	All Sliver creatures have provoke. (Whenever a Sliver attacks, its controller may have target creature defending player controls untap and block it if able.)
Mad Dog	{1}{R}	2	R	Creature — Dog	2	2		ODY	1177.26729323762	27975	At the beginning of your end step, if this creature didn't attack or come under your control this turn, sacrifice it.
Minotaur Explorer	{1}{R}	2	R	Creature — Minotaur Scout	3	3		ODY	1164.08847801902	29453	When this creature enters, sacrifice it unless you discard a card at random.
Pardic Miner	{1}{R}	2	R	Creature — Dwarf	1	1		ODY	1234.39678396255	23976	Sacrifice this creature: Target player can't play lands this turn.
Skirk Alarmist	{1}{R}	2	R	Creature — Human Wizard	1	2	Haste	LGN	1177.81958474296	20289	Haste / {T}: Turn target face-down creature you control face up. At the beginning of the next end step, sacrifice it.
Spitfire Handler	{1}{R}	2	R	Creature — Goblin	1	1		ONS	1099.00533531992	29743	This creature can't block creatures with power greater than this creature's power. / {R}: This creature gets +1/+0 until end of turn.
Balthor the Stout	{1}{R}{R}	3	R	Legendary Creature — Dwarf Barbarian	2	2		TOR	1144.283303227	23958	Other Barbarian creatures get +1/+1. / {R}: Another target Barbarian creature gets +1/+0 until end of turn.
Barbarian Bully	{2}{R}	3	R	Creature — Human Barbarian	2	2		JUD	1119.25425516598	28382	Discard a card at random: This creature gets +2/+2 until end of turn unless a player has this creature deal 4 damage to them. Activate only once each turn.
Barbarian Lunatic	{2}{R}	3	R	Creature — Human Barbarian	2	1		ODY	1094.98696789615	28957	{2}{R}, Sacrifice this creature: It deals 2 damage to target creature.
Dwarven Bloodboiler	{R}{R}{R}	3	R	Creature — Dwarf	2	2		JUD, PLST	1145.18687035018	9119	Tap an untapped Dwarf you control: Target creature gets +2/+0 until end of turn.
Dwarven Recruiter	{2}{R}	3	R	Creature — Dwarf	2	2		ODY, PLST	1114.24828362033	11700	When this creature enters, search your library for any number of Dwarf cards, reveal them, then shuffle and put those cards on top in any order.
Flamestick Courier	{2}{R}	3	R	Creature — Goblin	2	1		ONS	1132.90740654539	28608	You may choose not to untap this creature during your untap step. / {2}{R}, {T}: Target Goblin creature gets +2/+2 and has haste for as long as this creature remains tapped.
Hell-Bent Raider	{1}{R}{R}	3	R	Creature — Human Barbarian	2	2	First strike, Haste	TOR	1157.23086231827	27932	First strike, haste / Discard a card at random: This creature gains protection from white until end of turn.
Longhorn Firebeast	{2}{R}	3	R	Creature — Elemental Ox Beast	3	2		TOR	1114.01590889411	26149	When this creature enters, any opponent may have it deal 5 damage to them. If a player does, sacrifice this creature.
Nosy Goblin	{2}{R}	3	R	Creature — Goblin	2	1		ONS	1089.48302512668	30265	{T}, Sacrifice this creature: Destroy target face-down creature.
Pardic Swordsmith	{2}{R}	3	R	Creature — Dwarf	1	1		ODY	1152.06779389388	29780	{R}, Discard a card at random: This creature gets +2/+0 until end of turn.
Rock Jockey	{2}{R}	3	R	Creature — Goblin	3	3		SCG	1073.34883437391	30259	You can't cast Rock Jockey if you've played a land this turn. / You can't play lands if this creature was cast this turn.
Thoughtbound Primoc	{2}{R}	3	R	Creature — Bird Beast	2	3	Flying	ONS	1125.85654836058	30479	Flying / At the beginning of your upkeep, if a player controls more Wizards than each other player, the player who controls the most Wizards gains control of this creature.
Unstable Hulk	{1}{R}{R}	3	R	Creature — Goblin Mutant	2	2	Morph	LGN	1240.42746062857	29929	Morph {3}{R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) / When this creature is turned face up, it gets +6/+6 and gains trample until end of turn. You skip your next turn.
Blistering Firecat	{1}{R}{R}{R}	4	R	Creature — Elemental Cat	7	1	Haste, Morph, Trample	ONS	1162.58928081986	17434	Trample, haste / At the beginning of the end step, sacrifice this creature. / Morph {R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Bomb Squad	{3}{R}	4	R	Creature — Dwarf	1	1		ODY	1127.95628321007	18968	{T}: Put a fuse counter on target creature. / At the beginning of your upkeep, put a fuse counter on each creature with a fuse counter on it. / Whenever a creature has four or more fuse counters on it, remove all fuse counters from it and destroy it. That creature deals 4 damage to its controller.
Chainflinger	{3}{R}	4	R	Creature — Beast	2	2	Threshold	ODY	1160.00436335594	30072	{1}{R}, {T}: This creature deals 1 damage to any target. / Threshold — {2}{R}, {T}: This creature deals 2 damage to any target. Activate only if there are seven or more cards in your graveyard.
Dwarven Driller	{3}{R}	4	R	Creature — Dwarf	2	2		JUD	1152.8437751251	16915	{T}: Destroy target land unless its controller has this creature deal 2 damage to them.
Embermage Goblin	{3}{R}	4	R	Creature — Goblin Wizard	1	1		ONS	1192.47858628062	27387	When this creature enters, you may search your library for a card named Embermage Goblin, reveal it, put it into your hand, then shuffle. / {T}: This creature deals 1 damage to any target.
Fledgling Dragon	{2}{R}{R}	4	R	Creature — Dragon	2	2	Flying, Threshold	JUD, MH3	1222.26817794816	20544	Flying / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +3/+3 and has "{R}: This creature gets +1/+0 until end of turn."
Goblin Clearcutter	{3}{R}	4	R	Creature — Goblin	3	3		LGN	1094.71017440693	28409	{T}, Sacrifice a Forest: Add three mana in any combination of {R} and/or {G}.
Goblin Pyromancer	{3}{R}	4	R	Creature — Goblin Wizard	2	2		ONS	1175.32237047715	24134	When this creature enters, Goblin creatures get +3/+0 until end of turn. / At the beginning of the end step, destroy all Goblins.
Halberdier	{3}{R}	4	R	Creature — Human Barbarian	3	1	First strike	ODY	1067.61426656019	29290	First strike
Jeska, Warrior Adept	{2}{R}{R}	4	R	Legendary Creature — Human Barbarian Warrior	3	1	First strike, Haste	JUD	1242.24302134827	18944	First strike, haste / {T}: Jeska deals 1 damage to any target.
Magma Sliver	{3}{R}	4	R	Creature — Sliver	3	3		LGN, PSAL, SLD	1188.17980676073	11498	All Slivers have "{T}: Target Sliver creature gets +X/+0 until end of turn, where X is the number of Slivers on the battlefield."
Mine Layer	{3}{R}	4	R	Creature — Dwarf	1	1		ODY	1154.48243484867	18413	{1}{R}, {T}: Put a mine counter on target land. / Whenever a land with a mine counter on it becomes tapped, destroy it. / When this creature leaves the battlefield, remove all mine counters from all lands.
Pardic Arsonist	{2}{R}{R}	4	R	Creature — Human Barbarian	3	3	Threshold	TOR	1189.4711044842	28892	Threshold — As long as there are seven or more cards in your graveyard, this creature has "When this creature enters, it deals 3 damage to any target."
Pardic Firecat	{3}{R}	4	R	Creature — Elemental Cat	2	3	Haste	ODY	1135.89635852825	31001	Haste / If this card is in a graveyard, effects from spells named Flame Burst count it as a card named Flame Burst.
Petravark	{3}{R}	4	R	Creature — Nightmare Beast	2	2		TOR	1124.08105553227	27274	When this creature enters, exile target land. / When this creature leaves the battlefield, return the exiled card to the battlefield under its owner's control.
Possessed Barbarian	{2}{R}{R}	4	R	Creature — Human Barbarian Horror	3	3	First strike, Threshold	TOR	1184.94939300876	30601	First strike / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1, is black, and has "{2}{B}, {T}: Destroy target red creature."
Shaleskin Plower	{3}{R}	4	R	Creature — Beast	3	2	Morph	LGN	1080.19019608546	27772	Morph {4}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) / When this creature is turned face up, destroy target land.
Skirk Outrider	{3}{R}	4	R	Creature — Goblin	2	2		LGN	1125.33744468265	30925	As long as you control a Beast, this creature gets +2/+2 and has trample.
Skirk Volcanist	{3}{R}	4	R	Creature — Goblin	3	1	Morph	SCG	1096.06497980925	29483	Morph—Sacrifice two Mountains. (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) / When this creature is turned face up, it deals 3 damage divided as you choose among one, two, or three target creatures.
Spellgorger Barbarian	{3}{R}	4	R	Creature — Human Nightmare Barbarian	3	1		JUD	1098.43189600555	29676	When this creature enters, discard a card at random. / When this creature leaves the battlefield, draw a card.
Whipkeeper	{2}{R}{R}	4	R	Creature — Dwarf	1	1		ODY	1136.66652094442	25084	{T}: This creature deals damage to target creature equal to the damage already dealt to it this turn.
Airdrop Condor	{4}{R}	5	R	Creature — Bird	2	2	Flying	ONS	1150.19224592458	28685	Flying / {1}{R}, Sacrifice a Goblin creature: This creature deals damage equal to the sacrificed creature's power to any target.
Bonethorn Valesk	{4}{R}	5	R	Creature — Beast	4	2		SCG	1154.23319615456	30095	Whenever a permanent is turned face up, this creature deals 1 damage to any target.
Charging Slateback	{4}{R}	5	R	Creature — Beast	4	3	Morph	ONS	1133.24054142221	31082	This creature can't block. / Morph {4}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Crested Craghorn	{4}{R}	5	R	Creature — Goat Beast	4	1	Haste, Provoke	LGN	1210.39939819117	27832	Haste / Provoke (Whenever this creature attacks, you may have target creature defending player controls untap and block it if able.)
Dwarven Strike Force	{4}{R}	5	R	Creature — Dwarf Berserker	4	3		ODY	1154.10946480274	29573	Discard a card at random: This creature gains first strike and haste until end of turn.
Frenetic Ogre	{4}{R}	5	R	Creature — Ogre	2	3		ODY	1104.69095105387	30927	{R}, Discard a card at random: This creature gets +3/+0 until end of turn.
Goblin Assassin	{3}{R}{R}	5	R	Creature — Goblin Assassin	2	2		LGN, PLST	1117.60669844407	11322	Whenever this creature or another Goblin enters, each player flips a coin. Each player whose coin comes up tails sacrifices a creature of their choice.
Goblin Machinist	{4}{R}	5	R	Creature — Goblin	0	5		ONS	1131.91171802766	28964	{2}{R}: Reveal cards from the top of your library until you reveal a nonland card. This creature gets +X/+0 until end of turn, where X is that card's mana value. Put the revealed cards on the bottom of your library in any order.
Pardic Lancer	{4}{R}	5	R	Creature — Human Barbarian	3	2		TOR	1213.48399895871	30295	Discard a card at random: This creature gets +1/+0 and gains first strike until end of turn.
Savage Firecat	{3}{R}{R}	5	R	Creature — Elemental Cat	0	0	Trample	ODY	1190.57691223254	29892	Trample / This creature enters with seven +1/+1 counters on it. / Whenever you tap a land for mana, remove a +1/+1 counter from this creature.
Snapping Thragg	{4}{R}	5	R	Creature — Beast	3	3	Morph	ONS	1106.893980852	29943	Whenever this creature deals combat damage to a player, you may have it deal 3 damage to target creature that player controls. / Morph {4}{R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Soulgorger Orgg	{3}{R}{R}	5	R	Creature — Nightmare Orgg	6	6	Trample	JUD	1183.76689165281	15299	Trample / When this creature enters, you lose all but 1 life. / When this creature leaves the battlefield, you gain life equal to the life you lost when it entered.
Spurred Wolverine	{4}{R}	5	R	Creature — Wolverine Beast	3	2		ONS	1149.78247539076	30188	Tap two untapped Beasts you control: Target creature gains first strike until end of turn.
Tephraderm	{4}{R}	5	R	Creature — Beast	4	5		ONS	1142.09253982402	27015	Whenever a creature deals damage to this creature, this creature deals that much damage to that creature. / Whenever a spell deals damage to this creature, this creature deals that much damage to that spell's controller.
Bloodstoke Howler	{5}{R}	6	R	Creature — Beast	3	4	Morph	LGN	1123.67504025944	29860	Morph {6}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) / When this creature is turned face up, Beast creatures you control get +3/+0 until end of turn.
Frenetic Raptor	{5}{R}	6	R	Creature — Dinosaur Beast	6	6		LGN	1120.44593522098	30315	Beasts can't block.
Goretusk Firebeast	{5}{R}	6	R	Creature — Elemental Boar Beast	2	2		JUD	1140.27313031745	28647	When this creature enters, it deals 4 damage to target player or planeswalker.
Butcher Orgg	{4}{R}{R}{R}	7	R	Creature — Orgg	6	6		ONS	1121.95487869085	28027	You may assign this creature's combat damage divided as you choose among defending player and/or any number of creatures they control.
Crazed Firecat	{5}{R}{R}	7	R	Creature — Elemental Cat	4	4		TOR	1208.58340890842	17822	When this creature enters, flip a coin until you lose a flip. Put a +1/+1 counter on this creature for each flip you won.
Goblin Dynamo	{5}{R}{R}	7	R	Creature — Goblin Mutant	4	4		LGN	1164.86973088229	27040	{T}: This creature deals 1 damage to any target. / {X}{R}, {T}, Sacrifice this creature: It deals X damage to any target.
Rockshard Elemental	{5}{R}{R}	7	R	Creature — Elemental	4	3	Double strike, Morph	LGN	1177.70107152811	26333	Double strike (This creature deals both first-strike and regular combat damage.) / Morph {4}{R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Shaleskin Bruiser	{6}{R}	7	R	Creature — Beast	4	4	Trample	ONS	1165.03997401427	22064	Trample / Whenever this creature attacks, it gets +3/+0 until end of turn for each other attacking Beast.
Skittish Valesk	{6}{R}	7	R	Creature — Beast	5	5	Morph	ONS	1107.68589786247	26729	At the beginning of your upkeep, flip a coin. If you lose the flip, turn this creature face down. / Morph {5}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Ashen Firebeast	{6}{R}{R}	8	R	Creature — Elemental Beast	6	6		ODY	1204.95468944694	27602	{1}{R}: This creature deals 1 damage to each creature without flying.
Petradon	{6}{R}{R}	8	R	Creature — Nightmare Beast	5	6		TOR	1106.91342308951	29160	When this creature enters, exile two target lands. / When this creature leaves the battlefield, return the exiled cards to the battlefield under their owners' control. / {R}: This creature gets +1/+0 until end of turn.
Lithatog	{1}{R}{G}	3	R, G	Creature — Atog	1	2		ODY	1057.47939597349	18928	Sacrifice an artifact: This creature gets +1/+1 until end of turn. / Sacrifice a land: This creature gets +1/+1 until end of turn.
Aven Envoy	{U}	1	U	Creature — Bird Soldier	0	2	Flying	LGN	1106.57306691799	23861	Flying
Hapless Researcher	{U}	1	U	Creature — Human Wizard	1	1		JUD	1196.11131465832	20455	Sacrifice this creature: Draw a card, then discard a card.
Imagecrafter	{U}	1	U	Creature — Human Wizard	1	1		ONS	1129.4813045401	14035	{T}: Choose a creature type other than Wall. Target creature becomes that type until end of turn.
Thought Nibbler	{U}	1	U	Creature — Beast	1	1	Flying	ODY	1165.79556621806	24139	Flying / Your maximum hand size is reduced by two.
Aphetto Alchemist	{1}{U}	2	U	Creature — Human Wizard	1	2	Morph	ONS, PLST	1230.94860273915	5118	{T}: Untap target artifact or creature. / Morph {U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Cephalid Scout	{1}{U}	2	U	Creature — Octopus Wizard Scout	1	1	Flying	ODY	1118.73351993206	25920	Flying / {2}{U}, Sacrifice a land: Draw a card.
Cephalid Snitch	{1}{U}	2	U	Creature — Octopus Wizard	1	1		TOR	1109.86338475437	28376	Sacrifice this creature: Target creature loses protection from black until end of turn.
Cephalid Vandal	{1}{U}	2	U	Creature — Octopus Rogue	1	1	Mill	TOR	1124.58536422743	20633	At the beginning of your upkeep, put a shred counter on this creature. Then mill a card for each shred counter on this creature.
Coast Watcher	{1}{U}	2	U	Creature — Bird Soldier	1	1	Flying, Protection	SCG	1113.97673865076	23309	Flying, protection from green
Escape Artist	{1}{U}	2	U	Creature — Human Wizard	1	1		ODY	1247.26808207094	20273	This creature can't be blocked. / {U}, Discard a card: Return this creature to its owner's hand.
Information Dealer	{1}{U}	2	U	Creature — Human Wizard	1	1		ONS	1127.36815324768	17904	{T}: Look at the top X cards of your library, where X is the number of Wizards on the battlefield, then put them back in any order.
Mistform Sliver	{1}{U}	2	U	Creature — Illusion Sliver	1	1		LGN	1131.09738214976	24249	All Slivers have "{1}: This permanent becomes the creature type of your choice in addition to its other types until end of turn."
Mistform Stalker	{1}{U}	2	U	Creature — Illusion	1	1		ONS	1207.54676728513	30021	{1}: This creature becomes the creature type of your choice until end of turn. / {2}{U}{U}: This creature gets +2/+2 and gains flying until end of turn.
Phantom Whelp	{1}{U}	2	U	Creature — Illusion Dog	2	2		ODY	1062.66076509697	30343	When this creature attacks or blocks, return it to its owner's hand at end of combat. (Return it only if it's on the battlefield.)
Riptide Biologist	{1}{U}	2	U	Creature — Human Wizard	1	2	Morph, Protection	ONS	1081.43878630449	30735	Protection from Beasts / Morph {2}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Riptide Mangler	{1}{U}	2	U	Creature — Beast	0	3		LGN	1156.3582840892	27604	{1}{U}: Change this creature's base power to target creature's power. (This effect lasts indefinitely.)
Thought Eater	{1}{U}	2	U	Creature — Beast	2	2	Flying	ODY	1187.83661657542	13375	Flying / Your maximum hand size is reduced by three.
Voidmage Prodigy	{U}{U}	2	U	Creature — Human Wizard	2	1	Morph	ONS, P03, PRM, TSB	1202.1288209955	13571	{U}{U}, Sacrifice a Wizard: Counter target spell. / Morph {U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Wormfang Newt	{1}{U}	2	U	Creature — Nightmare Salamander Beast	2	2		JUD	1169.97695119473	24042	When this creature enters, exile a land you control. / When this creature leaves the battlefield, return the exiled card to the battlefield under its owner's control.
Aphetto Grifter	{2}{U}	3	U	Creature — Human Wizard	1	1		ONS	1135.52987569399	24291	Tap two untapped Wizards you control: Tap target permanent.
Balshan Beguiler	{2}{U}	3	U	Creature — Human Wizard	1	1		ODY	1223.0751400583	29553	Whenever this creature deals combat damage to a player, that player reveals the top two cards of their library. You choose one of those cards and put it into their graveyard.
Callous Oppressor	{1}{U}{U}	3	U	Creature — Octopus	1	2		ONS	1169.32606239776	15300	You may choose not to untap this creature during your untap step. / As this creature enters, an opponent chooses a creature type. / {T}: Gain control of target creature that isn't of the chosen type for as long as this creature remains tapped.
Cephalid Inkshrouder	{2}{U}	3	U	Creature — Octopus	2	1		JUD	1124.93267108291	15437	Discard a card: This creature gains shroud until end of turn and can't be blocked this turn. (A creature with shroud can't be the target of spells or abilities.)
Cephalid Looter	{2}{U}	3	U	Creature — Octopus Rogue	2	1		ODY	1280.55856421467	18710	{T}: Target player draws a card, then discards a card.
