Name,Cost,Type,Color,cube_elo,Pool,Reason
"Information Dealer",{1}{U},"Creature — Human Wizard",U,1127,candidate,"Out of pool; scry Wizard not in list."
"Lingering Mirage",{1}{U},"Enchantment — Aura",U,1165,candidate,"Redundant Islands aura (cycling) vs Spreading Seas."
"Mind Over Matter",{2}{U}{U}{U}{U},Enchantment,U,1340,candidate,"too_strong: untap-at-will + draw = board-camping infinite engine."
"Mistform Seaswift",{3}{U},"Creature — Illusion",U,1101,candidate,"Out of pool; type-changing flyer not allowed."
"Nameless One",{3}{U},"Creature — Wizard Avatar",U,1126,candidate,"Out of pool; Wizard-count beater not in list."
Palinchron,{5}{U}{U},"Creature — Illusion",U,1374,candidate,"too_strong: self-bounce + untap 7 loops to infinite mana; also out of pool."
"Parallax Tide",{2}{U}{U},Enchantment,U,1382,candidate,"Grouped with Parallax Wave but it is blue land-lock; belongs to U worksheet"
"Patron Wizard",{U}{U}{U},"Creature — Human Wizard",U,1233,candidate,"Out of pool; flagged dead in master (needs Wizard board)."
"Peregrine Drake",{4}{U},"Creature — Drake",U,1390,candidate,"Out of pool; untap-5-lands free-mana body, creature-locked out."
"Phantasmal Terrain",{U}{U},"Enchantment — Aura",U,992,candidate,"Redundant type-changer aura; lowest-elo Islands option."
Prosperity,{X}{U},Sorcery,U,1220,candidate,"Symmetric big draw helps opp; redundant with Stroke as payoff."
"Psychic Corrosion",{2}{U},Enchantment,U,1360,candidate,"Redundant mill-on-draw payoff vs Sphinx's Tutelage."
"Pulsating Illusion",{4}{U},"Creature — Illusion",U,1180,candidate,"Out of pool; pitch-to-pump Illusion not allowed."
"Reality Spasm",{X}{U}{U},Instant,U,1226,candidate,"Redundant scalable untap vs Reset/Turnabout."
"Riptide Director",{2}{U}{U},"Creature — Human Wizard",U,1140,candidate,"Out of pool; Wizard draw-engine not in list."
"Riptide Entrancer",{1}{U}{U},"Creature — Human Wizard",U,1161,candidate,"Out of pool; steal-on-damage Wizard not allowed."
"Riptide Mangler",{1}{U},"Creature — Beast",U,1156,candidate,"Out of pool; defensive Beast not allowed."
"Riptide Shapeshifter",{3}{U}{U},"Creature — Shapeshifter",U,1151,candidate,"Out of pool; tutor-a-creature body not in list."
"Rising Waters",{3}{U},Enchantment,U,1271,candidate,"Redundant stax-lite prison vs Back to Basics."
"Rummaging Wizard",{3}{U},"Creature — Human Wizard",U,1192,candidate,"Out of pool; impulse-loot Wizard not allowed."
"Seal of Removal",{U},Enchantment,U,1255,candidate,"Cheap bounce enchantment; UW Replenish glue."
"Shifty Doppelganger",{2}{U},"Creature — Shapeshifter",U,1215,candidate,"Out of pool; reanimator Shapeshifter not allowed."
"Shoreline Ranger",{5}{U},"Creature — Bird Soldier Ranger",U,1293,candidate,"Out of pool; Islandcycling flyer not in list."
"Slipstream Eel",{5}{U}{U},"Creature — Fish Beast",U,1083,candidate,"Out of pool; Islands-matters Fish not allowed."
"Sunken City",{U}{U},Enchantment,U,1037,candidate,"Creature-anthem with upkeep, errata-flagged; off-theme for combo shell."
"Tidal Warrior",{U},"Creature — Merfolk Warrior",U,1157,candidate,"Out of pool; repeatable Island-maker body not allowed as creature."
"Time Spiral",{4}{U}{U},Sorcery,U,1563,candidate,"too_strong: free 7-card refill + untap 6; format-warping value engine."
"Tolarian Winds",{1}{U},Instant,U,1318,candidate,"Off-colour discard wheel; UB/UR Ensnaring Bridge support."
Unwind,{2}{U},Instant,U,1293,candidate,"Redundant free counter vs Rewind."
"Voidmage Prodigy",{U}{U},"Creature — Human Wizard",U,1202,candidate,"Out of pool; counter-Wizard not in list."
"Web of Inertia",{2}{U},Enchantment,U,1214,candidate,"Redundant GY-taxing pillowfort."
"Whispers of the Muse",{U},Instant,U,1218,candidate,"Redundant buyback cantrip vs Mystic Speculation."
Windfall,{2}{U},Sorcery,U,1397,candidate,"Off-colour wheel; lives on UB/UR hand-punisher sheet."
Wonder,{3}{U},"Creature — Incarnation",U,1284,candidate,"Out of pool; graveyard Islands-flying payoff, creature-locked out."
"Words of Wisdom",{1}{U},Instant,U,1223,candidate,"Draws opponent a card; marginal storm padder."
"Wormfang Crab",{3}{U},"Creature — Nightmare Crab",U,1127,candidate,"Out of pool; defensive Nightmare not in list."
"Mind Funeral",{1}{U}{B},Sorcery,"U, B",1153,candidate,"Second UB mill; kept Glimpse the Unthinkable as cleaner payoff"
"Ancestor's Prophet",{4}{W},"Creature — Human Cleric",W,1088,candidate,"Cleric payoff; big life swings vs life-loss decks."
"Angel's Grace",{W},Instant,W,1154,candidate,"Ad Nauseam protector; no Ad Nauseam package in this mono-W slice"
"Aven Brigadier",{3}{W}{W}{W},"Creature — Bird Soldier",W,1194,candidate,"Double lord for Birds + Soldiers; WWW topend."
"Aven Cloudchaser",{3}{W},"Creature — Bird Soldier",W,1160,candidate,"Fine Bird + ETB Disenchant but overlaps Seal/Aura/Auramancer enchant-hate"
"Aven Farseer",{1}{W},"Creature — Bird Soldier",W,1195,candidate,"Morph-payoff flier; grows on any unmorph."
"Aven Warhawk",{4}{W},"Creature — Bird Soldier",W,1184,candidate,"Amplify scales with Bird/Soldier hand; tribal flier."
"Axis of Mortality",{4}{W}{W},Enchantment,W,1071,candidate,"Repeated total-swap borderline value engine; slow, political, scrutiny"
"Beacon of Destiny",{1}{W},"Creature — Human Cleric",W,1154,candidate,"In-block (ONS) Cleric. Life-matters defense; protects Death's Shadow / 1-life lines."
"Beacon of Immortality",{5}{W},Instant,W,1215,candidate,"One-shot life double; lethal only with Sanguine Bond, off mono-W"
"Boon Reflection",{4}{W},Enchantment,W,1139,candidate,"Lifegain doubler, weak alone; not enough payoff density in mono-W"
"Border Patrol",{4}{W},"Creature — Human Nomad",W,1189,candidate,"1/6 wall-on-legs; Blessed Orator/Mystic Zealot cover the stall slot"
"Catapult Master",{3}{W}{W},"Creature — Human Soldier",W,1166,candidate,"Soldier-flood payoff; repeatable exile removal if wide."
"Catapult Squad",{1}{W},"Creature — Human Soldier",W,1173,candidate,"Soldier-flood payoff; convert bodies into repeatable removal."
"Celestial Dawn",{1}{W}{W},Enchantment,W,1129,candidate,"Lands-to-Plains fixer; anti-synergy, no fixing need in mono-W"
"Celestial Gatekeeper",{3}{W}{W},"Creature — Bird Cleric",W,1165,candidate,"Bird+Cleric reanimation on death; grindy tribal value."
"Children of Korlis",{W},"Creature — Human Rebel Cleric",W,1174,candidate,"Life-recovery for Mirror/Ad Nauseam; out-of-block, no shell here"
Confessor,{W},"Creature — Human Cleric",W,1134,candidate,"Discard-matters lifegain; rewards madness/storm shells."
"Daru Cavalier",{3}{W},"Creature — Human Soldier",W,1114,candidate,"Singleton-neutered tutor; still a fine first-strike Soldier."
"Daru Sanctifier",{3}{W},"Creature — Human Cleric",W,1077,candidate,"Morph ambush enchant-removal; flexible vs lock enchantments."
"Daru Spiritualist",{1}{W},"Creature — Human Cleric",W,1130,candidate,"Cleric-matters; combos with tap-Cleric prevention engines."
"Daru Warchief",{2}{W}{W},"Creature — Human Soldier",W,1216,candidate,"Soldier lord + cost reducer; anchors the flood plan."
"Dawn of a New Age",{1}{W},Enchantment,W,1314,candidate,"Hope-counter draw engine; weaker than Mesa Enchantress for the draw slot"
"Dedicated Martyr",{W},"Creature — Human Cleric",W,1132,candidate,"1-drop Cleric; sac for 3 life buffer vs Mirror Universe."
"Deftblade Elite",{W},"Creature — Human Soldier",W,1146,candidate,"1-drop Soldier; provoke pulls blockers, unkillable in combat."
"Delaying Shield",{3}{W},Enchantment,W,1144,candidate,"Damage-to-counter buffer; Story Circle/Solitary Confinement stronger locks"
"Devoted Caretaker",{W},"Creature — Human Cleric",W,1211,candidate,"1-drop; protects key permanents/lock pieces from spot removal."
"Dogged Hunter",{2}{W},"Creature — Human Nomad",W,1202,candidate,"Repeatable token removal; hoses Opposition-GW / go-wide."
"Doubtless One",{3}{W},"Creature — Cleric Avatar",W,1067,candidate,"In-block (ONS) Cleric. Lifegain -> Sanguine Bond drain; scales with the tribe."
"Exiled Doomsayer",{1}{W},"Creature — Human Cleric",W,1198,candidate,"Hoses the morph subtheme; situational tax body."
"Force Bubble",{2}{W}{W},Enchantment,W,1182,candidate,"Depletion-counter fog wall; redundant with damage-prevention suite"
Glarecaster,{4}{W}{W},"Creature — Bird Cleric",W,1172,candidate,"Bird+Cleric flier; redirects damage as a pricey control valve."
Glowrider,{2}{W},"Creature — Human Cleric",W,1189,candidate,"Body Thalia; taxes spell-based combo/control decks."
"Graceful Antelope",{2}{W}{W},"Creature — Antelope",W,1109,candidate,"Land-to-Plains screw evasion; off-theme, mana-denial not wanted"
"Greater Auramancy",{1}{W},Enchantment,W,1163,candidate,"Protects Opalescence/Humility lock from removal; redundant w/ Sterling Grove"
"Gustcloak Savior",{4}{W},"Creature — Bird Soldier",W,1197,candidate,"Gustcloak anchor; ambush-untap whole team, dodges blocks."
"Idyllic Tutor",{2}{W},Sorcery,W,1173,candidate,"Slower to-hand enchant tutor; chose Enlightened Tutor (cheaper, lower power)"
"Mystic Crusader",{1}{W}{W},"Creature — Human Nomad Mystic",W,1238,candidate,"Strong threshold flier but pushes power; kept curve lower"
"Nova Cleric",{W},"Creature — Human Cleric",W,1121,candidate,"1-drop Cleric; sandbagged enchant-wrath vs Opposition shells."
"Open the Vaults",{4}{W}{W},Sorcery,W,1176,candidate,"Symmetric (downside) Replenish; bridges to lantern/artifact lock pieces"
"Pearlspear Courier",{2}{W},"Creature — Human Soldier",W,1165,candidate,"Soldier pump-anchor; repeatable +2/+2 vigilance buff."
"Phyrexian Unlife",{2}{W},Enchantment,W,1187,candidate,"0-life buffer for Ad Nauseam line; that combo lives in a multicolor shell"
"Pilgrim of Virtue",{2}{W},"Creature — Human Cleric",W,1207,candidate,"Pro-black wall Cleric; sac to fog a black source."
"Pulsemage Advocate",{2}{W},"Creature — Human Cleric",W,1096,candidate,"Self-reanimator donates cards back; grindy, off mono-W plan"
"Reborn Hero",{2}{W},"Creature — Human Soldier",W,1135,candidate,"ONS-era Soldier recursion; weak and Soldier-flood not buildable"
"Resilient Wanderer",{2}{W}{W},"Creature — Human Nomad",W,1169,candidate,"Discard outlet body; Patrol Hound is the cheaper outlet pick"
"Soul Echo",{X}{W}{W},Enchantment,W,1133,candidate,"Fragile counter life-shield; Transcendence/Near-Death cover the axis"
"Soul Warden",{W},"Creature — Human Cleric",W,1309,candidate,"Out-exception: keystone lifegain payoff vs Mirror/Death's Shadow life-loss decks."
"Stern Judge",{2}{W},"Creature — Human Cleric",W,1164,candidate,"In-block (TOR) Cleric. Punishes Swamps; life-as-attrition in WB."
"Sunstrike Legionnaire",{1}{W},"Creature — Human Soldier",W,1185,candidate,"Flood-fueled tapper; each creature ETB re-arms the tap."
"Teroh's Faithful",{3}{W},"Creature — Human Cleric",W,1149,candidate,"In-block (TOR) Cleric lifegain shell; cheap, on-theme."
"Tireless Tribe",{W},"Creature — Human Nomad",W,1165,candidate,"Free discard outlet; bins cards for graveyard/threshold."
"Trap Digger",{3}{W},"Creature — Human Soldier",W,1123,candidate,"Slow counter engine; land-sac repeatable anti-ground removal."
"Wall of Hope",{W},"Creature — Wall",W,1130,candidate,"1-drop wall; lifegain on damage, anti-aggro glue."
Whipcorder,{W}{W},"Creature — Human Soldier Rebel",W,1209,candidate,"Repeatable tapper Soldier; Opposition-style lock on a body."
"Whipgrass Entangler",{2}{W},"Creature — Human Cleric",W,1020,candidate,"Cleric-count soft lock; pseudo-Stasis on attackers/blockers."
"Cliffhaven Vampire",{2}{W}{B},"Creature — Vampire Warrior Ally","W, B",1107,candidate,"Non-pool creature (WB); hard-rule violation"
"Karlov of the Ghost Council",{W}{B},"Legendary Creature — Spirit Advisor","W, B",1217,candidate,"Non-pool creature (WB); hard-rule violation"
"Vizkopa Confessor",{3}{W}{B},"Creature — Human Cleric","W, B",1093,candidate,"Non-pool creature (WB); hard-rule violation"
"Vizkopa Guildmage",{W}{B},"Creature — Human Wizard","W, B",1088,candidate,"Non-pool creature (WB); hard-rule violation"
Millikin,{2},"Artifact Creature — Construct","",1211,odysseyblock-creature,"pool surplus — not selected"
"Barbarian Outcast",{1}{R},"Creature — Human Barbarian Beast",R,1121,odysseyblock-creature,"pool surplus — not selected"
"Ember Beast",{2}{R},"Creature — Beast",R,1089,odysseyblock-creature,"pool surplus — not selected"
Halberdier,{3}{R},"Creature — Human Barbarian",R,1067,odysseyblock-creature,"pool surplus — not selected"
"Longhorn Firebeast",{2}{R},"Creature — Elemental Ox Beast",R,1114,odysseyblock-creature,"pool surplus — not selected"
"Pardic Collaborator",{3}{R},"Creature — Human Barbarian",R,1089,odysseyblock-creature,"Vanilla 2/2 first strike with off-color B pump; weakest curated red, cut for count"
"Pardic Firecat",{3}{R},"Creature — Elemental Cat",R,1135,odysseyblock-creature,"2/3 haste with niche Flame Burst graveyard rider; redundant 4-drop beater"
"Silver Seraph",{5}{W}{W}{W},"Creature — Angel",W,1140,odysseyblock-creature,"WWW 8-drop anthem; too top-heavy, redundant with Valor/Blessed Orator"
