Name,Cost,MV,Type,Color,Worksheet,Archetype,Role,Source,cube_elo,does_nothing_alone,colorshift,too_strong,errata_needed,oob_exception,errata_proposal,comment
Lightning Storm,{1}{R}{R},3,Instant,R,R,adnauseam-modern-draw-out;combo,"Line B kill (R) — discard drawn lands to scale X, burn opponent out",any-era,1200,,,,,,,R splash kill after drawing library; charge-counter sink fits counter theme
Seething Song,{2}{R},3,Instant,R,R,storm,ritual (storm mana),any-era,1285,,,,,,,+2 R burst for storm turns
Violent Eruption,{1}{R}{R}{R},4,Instant,R,R,madness,madness burn (in-block),any-era,1267,,,,,,,TOR madness; 4 dmg split when discarded cheaply
Faithless Looting,{R},1,Sorcery,R,R,gy-storm,discard outlet + flashback,any-era,1395,,,,,,,"Cheap loot, flashback = 2 discards; storm/GY enabler"
Mana Clash,{R},1,Sorcery,R,R,burn;coin-flip,Coin-flip burn (repeat-flip damage); cheap flip generator,any-era,1135,,,,,,,Many flips per cast = lots of Chance Encounter luck counters; swingy but low power
Cathartic Reunion,{1}{R},2,Sorcery,R,R,gy-storm,discard outlet (bulk),any-era,1329,,,,,,,Discard 2 draw 3; big GY/threshold filler
Grapeshot,{1}{R},2,Sorcery,R,R,adnauseam-storm;storm,Alt storm kill (R) — 1 damage per prior spell to any target,any-era,1356,,,,,,,R-splash storm finisher; redundant with Tendrils — pick one in singleton final cut
Fiery Gambit,{2}{R},3,Sorcery,R,R,burn;card advantage;coin-flip,Coin-flip escalating payoff (flip until lose; tiered rewards),any-era,1062,,,,,,,Pure flip lottery; huge upside with Krark's Thumb; decision-rich push-your-luck
Game of Chaos,{R}{R}{R},3,Sorcery,R,R,coin-flip;life-swing,Coin-flip doubling life swing (push-your-luck),any-era,1152,,,,,,,Escalating flip duel; many flips for Chance Encounter; classic chaos
Molten Birth,{1}{R}{R},3,Sorcery,R,R,coin-flip;tokens,Coin-flip token maker (win flip = recast); cheap flip + bodies,any-era,1197,,,,,,,Always makes 2 bodies; flip-to-rebuy = repeatable flips with no card loss
Wheel of Fortune,{2}{R},3,Sorcery,R,R,storm;wheel,wheel (premium),any-era,1314,,,,,,,"Each draws 7; ELO 1315 ok—fragile sorcery, no engine"
Change of Fortune,{3}{R},4,Sorcery,R,R,gy-storm;wheel,discard-then-draw payoff,any-era,1227,,,,,,,Empties hand then draws per discard; hellbent refuel
Empty the Warrens,{3}{R},4,Sorcery,R,R,adnauseam-storm;storm,"Storm payoff making Goblins — board-presence storm, slower/fairer kill",any-era,1230,,,,,,,Low-power storm: tokens not instant-kill; fits incremental small-games ethos
Reforge the Soul,{3}{R}{R},5,Sorcery,R,R,wheel,wheel + miracle,any-era,1299,,,,,,,Wheel; miracle off topdeck. Symmetric refuel
Seal of Fire,{R},1,Enchantment,R,R,RG Gruul,burn,any-era,1294,,,,,,,Sealed 2 damage to any target
Braid of Fire,{1}{R},2,Enchantment,R,R,RG Gruul,mana keystone,any-era,1283,,,,,,,Cumulative upkeep: add R each upkeep; big-red mana engine (primer keystone)
Goblin Festival,{1}{R},2,Enchantment,R,R,burn;coin-flip,Coin-flip repeatable ping (flip support for the luck package),any-era,1120,,,,,,,Repeatable {2} flip-source feeds Chance Encounter; risk of losing it = decisions
Chance Encounter,{2}{R}{R},4,Enchantment,R,R,coin-flip;counter alt-win,Red counter alt-win (luck counters → 10 = win); coin-flip anchor,any-era,1129,Y,,,Y,,,In-block (ODY) red wincon; needs coin-flips + proliferate; errata per #12
Heart of Bogardan,{2}{R}{R},4,Enchantment,R,R,big-red mana sink;cumulative-upkeep/age,Cumulative-upkeep age-counter time bomb (pay or it blows up),any-era,1214,,,,,,,Pay R-mana each upkeep or it nukes; ties Braid of Fire mana to a clock
Impulsive Maneuvers,{2}{R}{R},4,Enchantment,R,R,coin-flip;combat,In-block coin-flip combat doubler (flip per attacker),any-era,1117,,,,,,,In-block (ODY) flip enchantment; many flips per combat for Chance Encounter
Magmatic Core,{2}{R}{R},4,Enchantment,R,R,big-red mana sink;cumulative-upkeep/age,Cumulative-upkeep age-counter repeatable damage (Pyroclasm engine),any-era,1252,,,,,,,Growing board-wipe; age counters = damage; Braid of Fire pays the upkeep
Basking Rootwalla,{G},1,Creature — Lizard,G,G,madness; GW tokens,Madness 1-drop beater; pump,odysseyblock,1265,,,,,,,"Free madness body, self-pumping early beater"
Diligent Farmhand,{G},1,Creature — Human Druid,G,G,RG ramp; BG sac,Sac-ramp dork; BG fodder,odysseyblock,1285,,,,,,,Sac for land; sac fodder too
Nantuko Tracer,{1}{G},2,Creature — Insect Druid,G,G,UG graveyard tech,GY-order ETB; anti-threshold,odysseyblock,1122,,,,,,,Bottoms a graveyard card on ETB
Seton's Scout,{1}{G},2,Creature — Centaur Druid Scout Archer,G,G,threshold; stall-breaker,Threshold reach blocker/beater,odysseyblock,1149,,,,,,,"Reach 2/1, 4/3 at threshold"
Werebear,{1}{G},2,Creature — Human Bear Druid,G,G,RG ramp; threshold,Mana dork + threshold beater,odysseyblock,1376,,,,,,,"Ramps early, 4/4 at threshold"
Wild Mongrel,{1}{G},2,Creature — Dog,G,G,madness; GY engine,Discard outlet + madness enabler,odysseyblock,1331,,,,,,,Key discard outlet; pumps and recolors
Anurid Swarmsnapper,{2}{G},3,Creature — Frog Beast,G,G,defense; stall-breaker,Reach multi-blocker; stall wall,odysseyblock,1102,,,,,,,"Reach, blocks extra creatures each turn"
Cartographer,{2}{G},3,Creature — Human,G,G,RG ramp; value,Land recursion body,odysseyblock,1214,,,,,,,Returns a land from graveyard
Chlorophant,{G}{G}{G},3,Creature — Elemental,G,G,UG counters/proliferate,Counter grower; proliferate target,odysseyblock,1187,,,,,,,"Grows each upkeep, faster at threshold"
Krosan Avenger,{2}{G},3,Creature — Human Druid,G,G,threshold; stall-breaker,Threshold trampler; regenerator,odysseyblock,1087,,,,,,,"3/1 trample, regenerates at threshold"
Squirrel Mob,{1}{G}{G},3,Creature — Squirrel,G,G,GW tokens,Squirrel anthem body,odysseyblock,1212,,,,,,,Scales with the squirrel token flood
Centaur Chieftain,{3}{G},4,Creature — Centaur,G,G,GW tokens; go-wide,Threshold mini-overrun ETB,odysseyblock,1193,,,,,,,Haste; threshold ETB team pump+trample
Nantuko Calmer,{2}{G}{G},4,Creature — Insect Druid,G,G,interaction; threshold,Enchantment removal on a body,odysseyblock,1117,,,,,,,Sac to kill an enchantment; threshold grow
Quarry Hauler,{3}{G},4,Creature — Camel,G,G,UG counters/proliferate,ETB counter doubler/mover,exception,,,,,,Y,,Exception: doubles counters; feeds counter theme
Squirrel Wrangler,{2}{G}{G},4,Creature — Human Druid,G,G,GW tokens; Opposition,Land→squirrels flood + anthem,exception,,,,,,Y,,Exception: Opposition token flood from lands
Zoologist,{3}{G},4,Creature — Human Druid,G,G,midrange value,Creature-cheat engine body,odysseyblock,1190,,,,,,,Slow top-of-library creature cheat
Arrogant Wurm,{3}{G}{G},5,Creature — Wurm,G,G,madness,Madness fatty payoff,odysseyblock,1252,,,,,,,Discard off Mongrel for cheap 4/4 trample
Gorilla Titan,{3}{G}{G},5,Creature — Ape,G,G,anti-graveyard; stall-breaker,Empty-graveyard beater,odysseyblock,1200,,,,,,,8/8 trample with empty graveyard
Rabid Elephant,{4}{G},5,Creature — Elephant,G,G,stall-breaker,Combat-math stall-breaker,odysseyblock,1174,,,,,,,Punishes multi-blocking; pushes stalls
Giant Warthog,{5}{G},6,Creature — Boar Beast,G,G,stall-breaker,Vanilla trample stall-breaker,odysseyblock,1087,,,,,,,Plain 5/5 trample to break ground stalls
Nut Collector,{5}{G},6,Creature — Human Druid,G,G,GW tokens; Opposition,Squirrel engine + threshold lord,odysseyblock,1228,,,,,,,Upkeep squirrels; +2/+2 lord at threshold
"Thriss, Nantuko Primus",{5}{G}{G},7,Legendary Creature — Insect Druid,G,G,top-end; combat,Repeatable pump top-end,odysseyblock,1188,,,,,,,+5/+5 each turn; slow finisher
Krosan Reclamation,{1}{G},2,Instant,G,G,UG graveyard tech,GY shuffle tech; flashback,any-era,,,,,,,,"Anti-threshold/anti-mill, repeatable"
Moment's Peace,{1}{G},2,Instant,G,G,defense; control,Repeatable fog (flashback),any-era,,,,,,,,Buys time for ramp/token plans
Elephant Ambush,{2}{G}{G},4,Instant,G,G,GW tokens; defense,Flashback token at instant speed,any-era,,,,,,,,"3/3 elephant twice, ambush blocker"
Chatter of the Squirrel,{G},1,Sorcery,G,G,GW tokens; Opposition,Cheap flashback token,any-era,,,,,,,,Two squirrels across two casts
Rampant Growth,{1}{G},2,Sorcery,G,G,RG ramp,Basic-land ramp,any-era,,,,,,,,Classic slow ramp and fixing
Call of the Herd,{2}{G},3,Sorcery,G,G,GW tokens; value,Flashback elephant token,any-era,,,,,,,,Two 3/3 elephants from one card
Acorn Harvest,{3}{G},4,Sorcery,G,G,GW tokens; BG sac,Flashback squirrel flood; BG fodder,any-era,,,,,,,,Four squirrels total; sac fodder
Grizzly Fate,{3}{G}{G},5,Sorcery,G,G,GW tokens; threshold,Threshold + flashback bear tokens,any-era,,,,,,,,Scales with threshold and flashback
Roar of the Wurm,{6}{G},7,Sorcery,G,G,RG ramp; tokens,Flashback fatty payoff,any-era,,,,,,,,6/6 wurm twice; ramp payoff
Carpet of Flowers,{G},1,Enchantment,G,G,RG ramp; anti-blue,Anti-blue ramp / big-mana,any-era,1312,,,,,,,Floods mana vs Island decks
Utopia Sprawl,{G},1,Enchantment — Aura,G,G,RG ramp; fixing,Forest ramp + fixing,any-era,,,,,,,,Ramps and fixes off a Forest
Wild Growth,{G},1,Enchantment — Aura,G,G,RG ramp,Land ramp aura,any-era,,,,,,,,Cheap ramp toward Helix and fatties
Druid's Call,{1}{G},2,Enchantment — Aura,G,G,GW tokens; defense,Damage→squirrels build-around,any-era,,,,,,,,Turns incoming damage into a token wall
By Gnome Means,{2}{W},3,Enchantment,W,W,WR Boros,coin-flip token,any-era,1237,,,,,,,Coin-flip each upkeep -> Gnome token; connective coin-flip tissue
Nantuko Shrine,{1}{G}{G},3,Enchantment,G,G,GW tokens; flashback synergy,Same-name squirrel build-around,any-era,,,,,,,,Flashback recasts net squirrels; decision-dense
Squirrel Nest,{1}{G}{G},3,Enchantment — Aura,G,G,GW tokens; Opposition,Token engine for Opposition,any-era,,,,,,,,Land taps for a squirrel each turn
Saproling Burst,{4}{G},5,Enchantment,G,G,GW tokens; UG proliferate,Fading token engine; proliferate,any-era,1348,,,,,,,Fade counters make scaling saprolings
Leveler,{5},5,Artifact Creature — Juggernaut,C,C,deck-out-combo,Empties own library on ETB; deck-out + Sundial line,exception,1200,,,,,Y,,"Artifact-creature exception; structural deck-out, not a beater"
Astral Cornucopia,{X}{X}{X},0,Artifact,C,C,counter-altwin,Charge-counter mana rock; big-red X sink,any-era,1289,,,,,,,Proliferate grows the rock; slow ramp + sink
Lion's Eye Diamond,{0},0,Artifact,C,C,hellbent,Ritual + discard enabler for hellbent/tutor combo,any-era,1610,,,,,,,Discard hand for 3; enables Infernal Tutor hellbent
Black Vise,{1},1,Artifact,B,B,BR prison,flooded-hand punisher clock,any-era,1370,,B,,,,,Colorshift B: damage per card over four
Codex Shredder,{1},1,Artifact,C,C,lantern-mill,Lantern win: repeatable mill + late card return,any-era,1251,,,,,,,Mills 1/turn solo; lantern-deck primary clock
Cursed Scroll,{1},1,Artifact,C,C,hellbent,Hellbent win-con: repeatable 2 burn on empty hand,any-era,1437,,,,,,,Classic hellbent finisher; empty/1-card hand
Expedition Map,{1},1,Artifact,C,C,fixing,Utility-land tutor for the prison toolbox,any-era,1381,,,,,,,Fetches Glacial Chasm/Tabernacle; enables toolbox
Ghoulcaller's Bell,{1},1,Artifact,C,C,lantern-mill,Lantern win: cheap symmetric mill,any-era,1208,,,,,,,Mills each player 1/turn; lantern + self-mill enabler
Lantern of Insight,{1},1,Artifact,C,C,lantern-mill,"Lantern-control core: see tops, selective mill lock",any-era,1270,Y,,,Y,,"At the beginning of your upkeep, mill 1",Errata to mill 1/upkeep so it's a real clock alone
Pyxis of Pandemonium,{1},1,Artifact,C,C,lantern-mill,Lantern-style exile clock; face-down library strip,any-era,1191,Y,,,Y,,Its {T} ability also mills each player 1,Errata so its tap ability also mills each player 1
The Rack,{1},1,Artifact,B,B,BR prison,empty-hand punisher clock,any-era,1169,,B,,,,,Colorshift B: punishes empty hand behind Bridge
Anvil of Bogardan,{2},2,Artifact,C,C,wheel-lock,Symmetric loot + no max hand; feeds punishers,any-era,1312,,,,,,,Discard feeds graveyard; draw feeds hand-size punishers
Coldsteel Heart,{2},2,Snow Artifact,C,C,fixing,Tapped two-mana fixed-color rock,any-era,1445,,,,,,,Tapped fixing rock; supports multicolor lock decks
Contagion Clasp,{2},2,Artifact,C,C,counter-altwin,Proliferate + repeatable counter accelerant,any-era,1195,,,,,,,"ETB shrink, then repeatable proliferate; cheap"
Cursed Totem,{2},2,Artifact,C,C,prison,Shuts off creature activated abilities,any-era,1174,,,,,,,Sideways prison; stops Opposition-style tappers
Damping Sphere,{2},2,Artifact,C,C,prison,Anti-ramp/anti-storm tax speed-bump,any-era,1207,,,,,,,Caps big-mana lands and storm; honest
Defense Grid,{2},2,Artifact,C,C,honest-combo,Taxes opp interaction; shields combo turn,any-era,1287,,,,,,,Asymmetric tax protecting honest-combo turns
Ebony Owl Netsuke,{2},2,Artifact,B,B,BR prison,flooded-hand punisher,any-era,1164,,B,,,,,Colorshift B: 4 damage at seven cards
Fellwar Stone,{2},2,Artifact,C,C,fixing,Untapped fixing rock keyed to opp lands,any-era,1447,,,,,,,"Mild, period-appropriate, no fast-mana jump"
Howling Mine,{2},2,Artifact,C,C,wheel-lock,Symmetric extra-draw; untap clause = real choice,any-era,1264,,,,,,,Core wheel enabler; tap-to-deny is a decision
Krark's Thumb,{2},2,Legendary Artifact,C,C,coin-flip,"Coin-flip linchpin: flip two, ignore one",any-era,1200,Y,,,Y,,"Gains: {2}, {T}: flip a coin",Errata to add a flip source so it isn't dead
Mind Stone,{2},2,Artifact,C,C,fixing,Fixing rock that cashes for a card late,any-era,1358,,,,,,,Low-power rock; sacs for card so never floods
Mindcrank,{2},2,Artifact,C,C,lantern-mill,Lantern/mill payoff: life loss snowballs into deck-out,any-era,1293,Y,,,Y,,Gains: {T}: target player mills 1,Errata to self-mill so it acts alone
Prismatic Lens,{2},2,Artifact,C,C,fixing,Filtering rock: colorless or filtered any-color,any-era,1363,,,,,,,Cheap filter rock; smooths build-around colors
Spawning Pit,{2},2,Artifact,C,C,counter-altwin,Charge-counter sac engine; proliferate target,any-era,1268,,,,,,,Banks sacs as counters; proliferate doubles tokens
Sphere of Resistance,{2},2,Artifact,C,C,prison,Symmetric spell tax; slows whole table,any-era,1389,,,,,,,"Cheap symmetric tax; prison glue, low power"
Star Compass,{2},2,Artifact,C,C,fixing,Tapland-style fixing keyed to your basics,any-era,1320,,,,,,,"Slow color fixing; enters tapped, low power"
Sundial of the Infinite,{2},2,Artifact,C,C,deck-out-combo,End turn before empty-library draw = Stifle for Leveler (#13),any-era,1321,,,,,,,Spec #13; alt to Ad Nauseam/Angel's Grace lines
Throne of Geth,{2},2,Artifact,C,C,counter-altwin,One-shot proliferate via artifact sac,any-era,1201,,,,,,,Cheap proliferate burst for alt-win/fade counters
Tsabo's Web,{2},2,Artifact,C,C,prison,Cantrip soft-lock on utility/man-lands,any-era,1243,,,,,,,Replaces itself; never a dead draw
Winter Orb,{2},2,Artifact,C,C,prison,Mana-denial stax: one land untaps/turn,any-era,1397,,,,,,,Core colorless mana-denial; glues slow shells
Crawlspace,{3},3,Artifact,C,C,prison,Caps attackers to two; buys time,any-era,1323,,,,,,,Pure defense for slow lock/alt-win shells
Crucible of Worlds,{3},3,Artifact,C,C,big-red-sink,Land-recursion engine for fetch/sac-land grind,any-era,1383,,,,,,,Supports Glacial-Chasm/sac-land prison loops
Ensnaring Bridge,{3},3,Artifact,Multi,Multicolor,BR Rakdos,Colorshift>B/R: hellbent prison shutting off attackers,any-era,1294,,B/R,,,,,Locked colorshift; empty hand to lock attacks
Iron Maiden,{3},3,Artifact,B,B,BR prison,flooded-hand punisher (all opponents),any-era,1129,,B,,,,,Colorshift B: Black Vise hitting everyone
Misers' Cage,{3},3,Artifact,B,B,BR prison,softer flooded-hand punisher,any-era,1093,,B,,,,,Colorshift B: 2 damage at five cards
Pristine Talisman,{3},3,Artifact,C,C,fixing,Lifegain rock; buffers life for grind/Ad Nauseam,any-era,1243,,,,,,,Slow rock + lifegain; buffers Ad Nauseam life
Static Orb,{3},3,Artifact,C,C,prison,Harder Winter Orb; only two untaps total,any-era,1242,,,,,,,Stronger stasis; rewards low-permanent prison
Storage Matrix,{3},3,Artifact,C,C,prison,Untap-type restriction lock; decision-rich,any-era,1155,,,,,,,Decision-intensive untap lock; very on-philosophy
Tangle Wire,{3},3,Artifact,Multi,Multicolor,UG Simic,Colorshift>U/G: fading soft-lock; fade counters proliferate target,any-era,1358,,U/G,,,,,Locked colorshift; fade counters love proliferate
Temple Bell,{3},3,Artifact,C,C,wheel-lock,On-demand symmetric draw; you control timing,any-era,1232,,,,,,,Fills hands on YOUR turn so punishers fire first
Worn Powerstone,{3},3,Artifact,C,C,big-red-sink,Tapped two-mana ramp for big-mana sinks,any-era,1377,,,,,,,Powers Braids/mana-sink decks without fast-mana jump
Cursed Rack,{4},4,Artifact,B,B,BR prison,hand-size lock piece,any-era,1204,,B,,,,,Colorshift B: caps opponent hand at four
Darksteel Reactor,{4},4,Artifact,C,C,counter-altwin,Counter alt-win: 20 charge = win; proliferate payoff,any-era,1166,Y,,,Y,,"Enters with 3 charge counters; whenever you proliferate, put an extra charge counter on it",Errata to tie to proliferate; cleanest count-to-20
Empowered Autogenerator,{4},4,Artifact,C,C,counter-altwin,Charge-counter ramp battery; proliferate target,any-era,1292,,,,,,,Self-growing mana; honest slow build-around
Font of Mythos,{4},4,Artifact,C,C,wheel-lock,Each player draws two extra per draw step,any-era,1251,,,,,,,Hardest enabler; rockets hands past 7 for Owl
Giant Fan,{4},4,Artifact,C,C,UR Izzet,coin-flip,any-era,1119,,,,,,,Coin-flip combat trick; connective coin-flip tissue
Otherworld Atlas,{4},4,Artifact — Book,C,C,wheel-lock,Charge-counter scaling symmetric draw,any-era,1242,,,,,,,Ties draw to counters theme + proliferate; slow
Smokestack,{4},4,Artifact,Multi,Multicolor,BG Golgari,Colorshift>B/G: symmetric sacrifice engine on soot counters,any-era,1271,,B/G,,,,,Locked colorshift; soot-counter sacrifice lock
Teferi's Puzzle Box,{4},4,Artifact,C,C,wheel-lock,Wheel-lock keystone (#14): forced redraw each draw step,any-era,1230,,,,,,,LOCK not free win; pair with hand-punishers
Trading Post,{4},4,Artifact,C,C,big-red-sink,Grindy modal mana-sink (goats/life/draw),any-era,1256,,,,,,,"User-named big-red sink; honest grind, no fast value"
Memory Jar,{5},5,Artifact,C,C,wheel-lock,Sac for fresh 7s; one-shot storm/draw burst,any-era,1378,,,,,,,One-shot wheel; floods hands for punishers on demand
Mind's Eye,{5},5,Artifact,C,C,wheel-lock,Draw-matters wheel payoff: pay {1} per opp draw to draw,any-era,,,,,,,,DB pull; punishes the symmetric wheels you run
Contagion Engine,{6},6,Artifact,C,C,counter-altwin,Double-proliferate engine; counter top-end,any-era,1254,,,,,,,Jumps alt-win counters and Tangle Wire fades fast
Mirror Universe,{6},6,Artifact,C,C,life-swap,"Headline finisher: get low, swap life totals away",any-era,1195,,,,,,,"Named anchor; honest one-shot, sacrifices itself"
Soul Conduit,{6},6,Artifact,C,C,life-swap,Repeatable Mirror Universe: {6} swap two totals,any-era,1137,,,,,,,{6}/use = honest slow backup to Mirror Universe
Possessed Portal,{8},8,Artifact,C,C,prison,"Top-end hard lock: stops draws, grinds board",any-era,1140,,,,,,,Fragile 8-mana payoff lock; expensive = fair
Dance of the Manse,{X}{W}{U},2,Sorcery,Multi,Multicolor,WU Azorius,enchantment recursion,any-era,1142,,,,,,,Return noncreature permanents mv<=X; enchantress payoff/Replenish-lite
Mirror Wall,{3}{U},4,Creature — Wall,U,U,UB/UW control wall,stall-breaking blocker,odysseyblock,1134,,,,,,,3/4 wall; can swing with white mana.
Enchanted Evening,{3}{W/U}{W/U},5,Enchantment,Multi,Multicolor,WU Azorius,All permanents become enchantments; enables Opalescence/Replenish sweep,any-era,1127,,,,Y,,ETB also mill top 3 and return an enchantment card to hand,Errata adds ETB mill + enchant return
Teferi's Moat,{3}{W}{U},5,Enchantment,Multi,Multicolor,WU Azorius,Color-locked ground stax pillowfort,any-era,1276,,,,,,,On-color pillowfort; locks chosen color
Dovescape,{3}{W/U}{W/U}{W/U},6,Enchantment,Multi,Multicolor,WU Azorius,Noncreature-spell soft-lock making symmetric 1/1 bird wall,any-era,1165,,,,,,,Soft-lock; spells become 1/1 birds
Iridescent Angel,{5}{W}{U},7,Creature - Angel,Multi,Multicolor,WU Azorius,Pro-all-colors evasive finisher for pillowfort,odysseyblock,1174,,,,,,,Pool gold creature; flying pro-all-colors
Glimpse the Unthinkable,{U}{B},2,Sorcery,Multi,Multicolor,UB Dimir,Big mill payoff for deck-out plan,any-era,1248,,,,,,,Kept over Mind Funeral; cleanest mill 10
Shadowmage Infiltrator,{1}{U}{B},3,Creature - Human Wizard,Multi,Multicolor,UB Dimir,Evasive card-draw engine for control-combo,odysseyblock,1270,,,,,,,Pool gold creature; fear + draw on hit
Soul Manipulation,{1}{U}{B},3,Instant,Multi,Multicolor,UB Dimir,Modal counter-creature / regrow-creature for control-combo,any-era,,,,,,,,Honest Dimir interaction; counter or regrow
Balshan Collaborator,{3}{U},4,Creature — Bird Soldier,U,U,UB tempo,evasive beater,odysseyblock,1138,,,,,,,Flyer with black pump; splash payoff.
Possessed Aven,{2}{U}{U},4,Creature — Bird Soldier Horror,U,U,UB threshold,threshold evasive removal,odysseyblock,1155,,,,,,,"Threshold grows it, adds blue-kill activation."
Rain of Gore,{B}{R},2,Enchantment,Multi,Multicolor,BR Rakdos,Symmetric anti-lifegain: lifegain becomes lifeloss,any-era,1125,,,,,,,Life-resource hate; lifegain becomes loss
Possessed Barbarian,{2}{R}{R},4,Creature — Human Barbarian Horror,R,R,BR graveyard,Threshold value body; gains removal,odysseyblock,1184,,,,,,,At threshold becomes black with red-kill ability
Spiteful Visions,{2}{B/R}{B/R},4,Enchantment,Multi,Multicolor,BR Rakdos,Symmetric extra-draw + 1 dmg per draw; wheel becomes clock,any-era,1247,,,,,,,Turns wheel into a clock; symmetric
Vampiric Dragon,{6}{B}{R},8,Creature - Vampire Dragon,Multi,Multicolor,BR Rakdos,Top-end pinger that breaks ground stalls,odysseyblock,1099,,,,,,,Pool gold creature; flyer pings + grows
Aether Rift,{1}{R}{G},3,Enchantment,Multi,Multicolor,RG Gruul,Random upkeep discard -> reanimate unless opp pays 5,any-era,,,,,,,,Hellbent reanimator; random-discard upkeep
Stormbind,{1}{R}{G},3,Enchantment,Multi,Multicolor,RG Gruul,"Repeatable mana+card sink: 2, discard random -> 2 dmg",any-era,,,,,,,,Gruul mana/graveyard sink; hellbent fuel
Sterling Grove,{G}{W},2,Enchantment,Multi,Multicolor,GW Selesnya,Enchantment toolbox tutor + shroud protection for the shell,any-era,1252,,,,,,,Enchantress glue; tutor + shroud
Travel Preparations,{1}{G},2,Sorcery,G,G,UG counters; GW,Counters + W flashback bridge,any-era,,,,,,,,Four +1/+1 counters across two casts
Phantom Nishoba,{5}{G}{W},7,Creature - Cat Beast Spirit,Multi,Multicolor,GW Selesnya,Counter-based lifegain wall that breaks stalls,odysseyblock,1263,,,,,,,Pool gold creature; trample + counter shields
Death Grasp,{X}{W}{B},2,Sorcery,Multi,Multicolor,WB Orzhov,X damage + gain X: life-as-resource finisher,any-era,,,,,,,,X dmg plus gain X; Orzhov finisher
Final Payment,{W}{B},2,Instant,Multi,Multicolor,WB Orzhov,Pay 5 life (or sac) to destroy a creature: life-as-resource removal,any-era,1138,,,,,,,Life-as-resource removal; cheap WB interaction
Doom Foretold,{2}{W}{B},4,Enchantment,Multi,Multicolor,WB Orzhov,attrition sac engine,any-era,1221,,,,,,,Symmetric forced sac -> draw + token + lifegain payoff
Possessed Nomad,{2}{W}{W},4,Creature — Human Nomad Horror,W,W,threshold;control,stall-breaker,odysseyblock,1166,,,,,,,Vigilant 3/3; threshold turns black removal-body
Epic Experiment,{X}{U}{R},2,Sorcery,Multi,Multicolor,UR Izzet,Cast-and-spent free-spell payoff off the top X,any-era,,,,,,,,"Honest spells payoff; one-shot, fully spent"
Fevered Visions,{1}{U}{R},3,Enchantment,Multi,Multicolor,UR Izzet,"Self-contained wheel-punisher: draw EOT, opp takes 2 if 4+ cards",any-era,1156,,,,,,,Wheel-punisher; symmetric draw plus burn
Stitch in Time,{1}{U}{R},3,Sorcery,Multi,Multicolor,UR Izzet,Coin-flip extra turn (Izzet flip payoff),any-era,1192,,,,,,,Coin-flip extra turn; flip payoff
Squandered Resources,{B}{G},2,Enchantment,Multi,Multicolor,BG Golgari,Burst-mana sink: sac lands for big X / combo turns,any-era,1254,,,,,,,Sac lands for burst mana sink
Pernicious Deed,{1}{B}{G},3,Enchantment,Multi,Multicolor,BG Golgari,"Sac-and-spent symmetric reset, destroy permanents mv<=X",any-era,,,,,,,,"Honest reset; sacked, not a value engine"
Possessed Centaur,{2}{G}{G},4,Creature — Centaur Horror,G,G,BG; threshold,Threshold beater; BG bridge,odysseyblock,1184,,,,,,,"Turns black at threshold, kills green"
Goblin Trenches,{1}{R}{W},3,Enchantment,Multi,Multicolor,WR Boros,"Sac-land token sink: 2, sac land -> two 1/1 tokens",any-era,,,,,,,,Mana-sink token flood; feeds Opposition/grind
Glory of Warfare,{2}{R}{W},4,Enchantment,Multi,Multicolor,WR Boros,"Asymmetric anthem: +2/0 your turn, +0/2 otherwise",any-era,,,,,,,,Boros token-grind anthem; offense and defense
Phyrexian Tyranny,{U}{B}{R},3,Enchantment,Multi,Multicolor,UB Dimir,Colorshift>U/B: each draw costs opp 2 life unless they pay 2,any-era,1043,,U/B,,,,,Colorshift U/B; symmetric draw-tax punisher
Calciform Pools,,0,Land,Land,Land,counters / proliferate,W/U storage-counter battery,any-era,1161,,,,,,,"Storage battery, proliferate target"
Mystic Gate,,0,Land,Land,Land,WU fixing,"W/U filter land, {C} or hybrid->two",any-era,1257,,,,,,,"Filter land, slow WU fix"
Skycloud Expanse,,0,Land,Land,Land,WU fixing,"allied W/U filter, pay {1} no life loss",any-era,1231,,,,,,,Low-power allied W/U fix
Darkwater Catacombs,,0,Land,Land,Land,UB fixing,allied U/B filter,any-era,1271,,,,,,,Low-power allied U/B fix
Dreadship Reef,,0,Land,Land,Land,counters / proliferate,U/B storage-counter battery,any-era,1151,,,,,,,"Storage battery, proliferate target"
Sunken Ruins,,0,Land,Land,Land,UB fixing,U/B filter land,any-era,1341,,,,,,,"Filter land, slow UB fix"
Graven Cairns,,0,Land,Land,Land,BR fixing,B/R filter land,any-era,1219,,,,,,,"Filter land, slow BR fix"
Molten Slagheap,,0,Land,Land,Land,counters / proliferate,B/R storage-counter battery,any-era,1127,,,,,,,"Storage battery, proliferate target"
Shadowblood Ridge,,0,Land,Land,Land,BR fixing,allied B/R filter,any-era,1213,,,,,,,Low-power allied B/R fix
Fire-Lit Thicket,,0,Land,Land,Land,RG fixing,R/G filter land,any-era,1249,,,,,,,"Filter land, slow RG fix"
Fungal Reaches,,0,Land,Land,Land,counters / proliferate,R/G storage-counter battery,any-era,1148,,,,,,,"Storage battery, proliferate target"
Mossfire Valley,,0,Land,Land,Land,RG fixing,allied R/G filter,any-era,1188,,,,,,,Low-power allied R/G fix
Nantuko Monastery,,0,Land,Land,Land,threshold beatdown,threshold 4/4 GW manland,any-era,1138,,,,,,,Threshold-gated manland; stall-breaker
